,Original_Sentence,Parsed_Sentence,LReasoner_generated_positive_samples,Positive_samples_labels
0,"If the bald eagle is kind, then Dave is not short.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ kind))))) (, ,) (ADVP (RB then)) (NP (NNP Dave)) (VP (VBZ is) (RB not) (ADJP (JJ short))) (. .))","If it is not kind, then it will be not the bald eagle.",1
1,"If the bald eagle is kind, then Dave is not short.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ kind))))) (, ,) (ADVP (RB then)) (NP (NNP Dave)) (VP (VBZ is) (RB not) (ADJP (JJ short))) (. .))","If it is not kind, then it will be not the bald eagle.",1
2,"If the bald eagle is not kind, then Fiona is sad.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ kind))))) (, ,) (ADVP (RB then)) (NP (NNP Fiona)) (VP (VBZ is) (ADJP (JJ sad))) (. .))","If it is kind, then it will be not the bald eagle.",1
3,"If the bald eagle is not kind, then Fiona is sad.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ kind))))) (, ,) (ADVP (RB then)) (NP (NNP Fiona)) (VP (VBZ is) (ADJP (JJ sad))) (. .))","If it is kind, then it will be not the bald eagle.",1
4,"If the bald eagle is quiet, then the dinosaur is heavy.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ quiet))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN dinosaur)) (VP (VBZ is) (ADJP (JJ heavy))) (. .))","If it is not quiet, then it will be not the bald eagle.",1
5,"If the bald eagle is quiet, then the dinosaur is heavy.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ quiet))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN dinosaur)) (VP (VBZ is) (ADJP (JJ heavy))) (. .))","If it is not quiet, then it will be not the bald eagle.",1
6,"If the bald eagle is not quiet, then the bald eagle is not high.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ quiet))))) (, ,) (ADVP (RB then)) (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ high))) (. .))","If it is quiet, then it will be not the bald eagle.",1
7,"If the bald eagle is not quiet, then the bald eagle is not high.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ quiet))))) (, ,) (ADVP (RB then)) (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ high))) (. .))","If it is quiet, then it will be not the bald eagle.",1
8,"If the bald eagle is round, then the cat is thin.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ round))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN cat)) (VP (VBZ is) (ADJP (JJ thin))) (. .))","If it is not round, then it will be not the bald eagle.",1
9,"If the bald eagle is round, then the cat is thin.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ round))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN cat)) (VP (VBZ is) (ADJP (JJ thin))) (. .))","If it is not round, then it will be not the bald eagle.",1
10,"If the bald eagle is not round, then Gary is not powerful.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ round)))))) (, ,) (ADVP (RB then)) (NP (NNP Gary)) (VP (VBZ is) (RB not) (ADJP (JJ powerful))) (. .))","If it is round, then it will be not the bald eagle.",1
11,"If the bald eagle is not round, then Gary is not powerful.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ round)))))) (, ,) (ADVP (RB then)) (NP (NNP Gary)) (VP (VBZ is) (RB not) (ADJP (JJ powerful))) (. .))","If it is round, then it will be not the bald eagle.",1
12,"If the bald eagle is nice, then Alan is boring.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ nice))))) (, ,) (ADVP (RB then)) (NP (NNP Alan)) (VP (VBZ is) (ADJP (JJ boring))) (. .))","If it is not nice, then it will be not the bald eagle.",1
13,"If the bald eagle is nice, then Alan is boring.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ nice))))) (, ,) (ADVP (RB then)) (NP (NNP Alan)) (VP (VBZ is) (ADJP (JJ boring))) (. .))","If it is not nice, then it will be not the bald eagle.",1
14,"If the bald eagle is not nice, then the bald eagle is not lovely.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ nice))))) (, ,) (ADVP (RB then)) (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ lovely))) (. .))","If it is nice, then it will be not the bald eagle.",1
15,"If the bald eagle is not nice, then the bald eagle is not lovely.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ nice))))) (, ,) (ADVP (RB then)) (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ lovely))) (. .))","If it is nice, then it will be not the bald eagle.",1
16,"If the bald eagle is smart, then Erin is sleepy.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ smart))))) (, ,) (ADVP (RB then)) (NP (NNP Erin)) (VP (VBZ is) (ADJP (JJ sleepy))) (. .))","If it is not smart, then it will be not the bald eagle.",1
17,"If the bald eagle is smart, then Erin is sleepy.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ smart))))) (, ,) (ADVP (RB then)) (NP (NNP Erin)) (VP (VBZ is) (ADJP (JJ sleepy))) (. .))","If it is not smart, then it will be not the bald eagle.",1
18,"If the bald eagle is not smart, then the snake is not cute.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ smart))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN snake)) (VP (VBZ is) (RB not) (ADJP (JJ cute))) (. .))","If it is smart, then it will be not the bald eagle.",1
19,"If the bald eagle is not smart, then the snake is not cute.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ smart))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN snake)) (VP (VBZ is) (RB not) (ADJP (JJ cute))) (. .))","If it is smart, then it will be not the bald eagle.",1
20,"If the bald eagle is clever, then the leopard is tiny.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ clever))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN leopard)) (VP (VBZ is) (ADJP (JJ tiny))) (. .))","If it is not clever, then it will be not the bald eagle.",1
