Sentences,Logic-words
the bald eagle is kind.,positive
the bald eagle is not kind.,negative
the bald eagle is quiet.,positive
the bald eagle is not quiet.,negative
the bald eagle is round.,positive
the bald eagle is not round.,negative
the bald eagle is nice.,positive
the bald eagle is not nice.,negative
the bald eagle is smart.,positive
the bald eagle is not smart.,negative
the bald eagle is clever.,positive
the bald eagle is not clever.,negative
the bald eagle is dull.,positive
the bald eagle is not dull.,negative
the bald eagle is rough.,positive
the bald eagle is not rough.,negative
the bald eagle is lazy.,positive
the bald eagle is not lazy.,negative
the bald eagle is slow.,positive
the bald eagle is not slow.,negative
the bald eagle is sleepy.,positive
the bald eagle is not sleepy.,negative
the bald eagle is boring.,positive
the bald eagle is not boring.,negative
the bald eagle is tired.,positive
the bald eagle is not tired.,negative
the bald eagle is reckless.,positive
the bald eagle is not reckless.,negative
the bald eagle is furry.,positive
the bald eagle is not furry.,negative
the bald eagle is small.,positive
the bald eagle is not small.,negative
the bald eagle is cute.,positive
the bald eagle is not cute.,negative
the bald eagle is lovely.,positive
the bald eagle is not lovely.,negative
the bald eagle is beautiful.,positive
the bald eagle is not beautiful.,negative
the bald eagle is funny.,positive
the bald eagle is not funny.,negative
the bald eagle is big.,positive
the bald eagle is not big.,negative
the bald eagle is strong.,positive
the bald eagle is not strong.,negative
the bald eagle is awful.,positive
the bald eagle is not awful.,negative
the bald eagle is fierce.,positive
the bald eagle is not fierce.,negative
the bald eagle is heavy.,positive
the bald eagle is not heavy.,negative
the bald eagle is horrible.,positive
the bald eagle is not horrible.,negative
the bald eagle is powerful.,positive
the bald eagle is not powerful.,negative
the bald eagle is angry.,positive
the bald eagle is not angry.,negative
the bald eagle is high.,positive
the bald eagle is not high.,negative
the bald eagle is huge.,positive
the bald eagle is not huge.,negative
the bald eagle is short.,positive
the bald eagle is not short.,negative
the bald eagle is thin.,positive
the bald eagle is not thin.,negative
the bald eagle is little.,positive
the bald eagle is not little.,negative
the bald eagle is tiny.,positive
the bald eagle is not tiny.,negative
the bald eagle is wealthy.,positive
the bald eagle is not wealthy.,negative
the bald eagle is poor.,positive
the bald eagle is not poor.,negative
the bald eagle is dull.,positive
the bald eagle is not dull.,negative
the bald eagle is rough.,positive
the bald eagle is not rough.,negative
the bald eagle is bad.,positive
the bald eagle is not bad.,negative
the bald eagle is sad.,positive
the bald eagle is not sad.,negative
the tiger is kind.,positive
the tiger is not kind.,negative
the tiger is quiet.,positive
the tiger is not quiet.,negative
the tiger is round.,positive
the tiger is not round.,negative
the tiger is nice.,positive
the tiger is not nice.,negative
the tiger is smart.,positive
the tiger is not smart.,negative
the tiger is clever.,positive
the tiger is not clever.,negative
the tiger is dull.,positive
the tiger is not dull.,negative
the tiger is rough.,positive
the tiger is not rough.,negative
the tiger is lazy.,positive
the tiger is not lazy.,negative
the tiger is slow.,positive
the tiger is not slow.,negative
the tiger is sleepy.,positive
the tiger is not sleepy.,negative
the tiger is boring.,positive
the tiger is not boring.,negative
the tiger is tired.,positive
the tiger is not tired.,negative
the tiger is reckless.,positive
the tiger is not reckless.,negative
the tiger is furry.,positive
the tiger is not furry.,negative
the tiger is small.,positive
the tiger is not small.,negative
the tiger is cute.,positive
the tiger is not cute.,negative
the tiger is lovely.,positive
the tiger is not lovely.,negative
the tiger is beautiful.,positive
the tiger is not beautiful.,negative
the tiger is funny.,positive
the tiger is not funny.,negative
the tiger is big.,positive
the tiger is not big.,negative
the tiger is strong.,positive
the tiger is not strong.,negative
the tiger is awful.,positive
the tiger is not awful.,negative
the tiger is fierce.,positive
the tiger is not fierce.,negative
the tiger is heavy.,positive
the tiger is not heavy.,negative
the tiger is horrible.,positive
the tiger is not horrible.,negative
the tiger is powerful.,positive
the tiger is not powerful.,negative
the tiger is angry.,positive
the tiger is not angry.,negative
the tiger is high.,positive
the tiger is not high.,negative
the tiger is huge.,positive
the tiger is not huge.,negative
the tiger is short.,positive
the tiger is not short.,negative
the tiger is thin.,positive
the tiger is not thin.,negative
the tiger is little.,positive
the tiger is not little.,negative
the tiger is tiny.,positive
the tiger is not tiny.,negative
the tiger is wealthy.,positive
the tiger is not wealthy.,negative
the tiger is poor.,positive
the tiger is not poor.,negative
the tiger is dull.,positive
the tiger is not dull.,negative
the tiger is rough.,positive
the tiger is not rough.,negative
the tiger is bad.,positive
the tiger is not bad.,negative
the tiger is sad.,positive
the tiger is not sad.,negative
the bear is kind.,positive
the bear is not kind.,negative
the bear is quiet.,positive
the bear is not quiet.,negative
the bear is round.,positive
the bear is not round.,negative
the bear is nice.,positive
the bear is not nice.,negative
the bear is smart.,positive
the bear is not smart.,negative
the bear is clever.,positive
the bear is not clever.,negative
the bear is dull.,positive
the bear is not dull.,negative
the bear is rough.,positive
the bear is not rough.,negative
the bear is lazy.,positive
the bear is not lazy.,negative
the bear is slow.,positive
the bear is not slow.,negative
the bear is sleepy.,positive
the bear is not sleepy.,negative
the bear is boring.,positive
the bear is not boring.,negative
the bear is tired.,positive
the bear is not tired.,negative
the bear is reckless.,positive
the bear is not reckless.,negative
the bear is furry.,positive
the bear is not furry.,negative
the bear is small.,positive
the bear is not small.,negative
the bear is cute.,positive
the bear is not cute.,negative
the bear is lovely.,positive
the bear is not lovely.,negative
the bear is beautiful.,positive
the bear is not beautiful.,negative
the bear is funny.,positive
the bear is not funny.,negative
the bear is big.,positive
the bear is not big.,negative
the bear is strong.,positive
the bear is not strong.,negative
the bear is awful.,positive
the bear is not awful.,negative
the bear is fierce.,positive
the bear is not fierce.,negative
the bear is heavy.,positive
the bear is not heavy.,negative
the bear is horrible.,positive
the bear is not horrible.,negative
the bear is powerful.,positive
the bear is not powerful.,negative
the bear is angry.,positive
the bear is not angry.,negative
the bear is high.,positive
the bear is not high.,negative
the bear is huge.,positive
the bear is not huge.,negative
the bear is short.,positive
the bear is not short.,negative
the bear is thin.,positive
the bear is not thin.,negative
the bear is little.,positive
the bear is not little.,negative
the bear is tiny.,positive
the bear is not tiny.,negative
the bear is wealthy.,positive
the bear is not wealthy.,negative
the bear is poor.,positive
the bear is not poor.,negative
the bear is dull.,positive
the bear is not dull.,negative
the bear is rough.,positive
the bear is not rough.,negative
the bear is bad.,positive
the bear is not bad.,negative
the bear is sad.,positive
the bear is not sad.,negative
the lion is kind.,positive
the lion is not kind.,negative
the lion is quiet.,positive
the lion is not quiet.,negative
the lion is round.,positive
the lion is not round.,negative
the lion is nice.,positive
the lion is not nice.,negative
the lion is smart.,positive
the lion is not smart.,negative
the lion is clever.,positive
the lion is not clever.,negative
the lion is dull.,positive
the lion is not dull.,negative
the lion is rough.,positive
the lion is not rough.,negative
the lion is lazy.,positive
the lion is not lazy.,negative
the lion is slow.,positive
the lion is not slow.,negative
the lion is sleepy.,positive
the lion is not sleepy.,negative
the lion is boring.,positive
the lion is not boring.,negative
the lion is tired.,positive
the lion is not tired.,negative
the lion is reckless.,positive
the lion is not reckless.,negative
the lion is furry.,positive
the lion is not furry.,negative
the lion is small.,positive
the lion is not small.,negative
the lion is cute.,positive
the lion is not cute.,negative
the lion is lovely.,positive
the lion is not lovely.,negative
the lion is beautiful.,positive
the lion is not beautiful.,negative
the lion is funny.,positive
the lion is not funny.,negative
the lion is big.,positive
the lion is not big.,negative
the lion is strong.,positive
the lion is not strong.,negative
the lion is awful.,positive
the lion is not awful.,negative
the lion is fierce.,positive
the lion is not fierce.,negative
the lion is heavy.,positive
the lion is not heavy.,negative
the lion is horrible.,positive
the lion is not horrible.,negative
the lion is powerful.,positive
the lion is not powerful.,negative
the lion is angry.,positive
the lion is not angry.,negative
the lion is high.,positive
the lion is not high.,negative
the lion is huge.,positive
the lion is not huge.,negative
the lion is short.,positive
the lion is not short.,negative
the lion is thin.,positive
the lion is not thin.,negative
the lion is little.,positive
the lion is not little.,negative
the lion is tiny.,positive
the lion is not tiny.,negative
the lion is wealthy.,positive
the lion is not wealthy.,negative
the lion is poor.,positive
the lion is not poor.,negative
the lion is dull.,positive
the lion is not dull.,negative
the lion is rough.,positive
the lion is not rough.,negative
the lion is bad.,positive
the lion is not bad.,negative
the lion is sad.,positive
the lion is not sad.,negative
the wolf is kind.,positive
the wolf is not kind.,negative
the wolf is quiet.,positive
the wolf is not quiet.,negative
the wolf is round.,positive
the wolf is not round.,negative
the wolf is nice.,positive
the wolf is not nice.,negative
the wolf is smart.,positive
the wolf is not smart.,negative
the wolf is clever.,positive
the wolf is not clever.,negative
the wolf is dull.,positive
the wolf is not dull.,negative
the wolf is rough.,positive
the wolf is not rough.,negative
the wolf is lazy.,positive
the wolf is not lazy.,negative
the wolf is slow.,positive
the wolf is not slow.,negative
the wolf is sleepy.,positive
the wolf is not sleepy.,negative
the wolf is boring.,positive
the wolf is not boring.,negative
the wolf is tired.,positive
the wolf is not tired.,negative
the wolf is reckless.,positive
the wolf is not reckless.,negative
the wolf is furry.,positive
the wolf is not furry.,negative
the wolf is small.,positive
the wolf is not small.,negative
the wolf is cute.,positive
the wolf is not cute.,negative
the wolf is lovely.,positive
the wolf is not lovely.,negative
the wolf is beautiful.,positive
the wolf is not beautiful.,negative
the wolf is funny.,positive
the wolf is not funny.,negative
the wolf is big.,positive
the wolf is not big.,negative
the wolf is strong.,positive
the wolf is not strong.,negative
the wolf is awful.,positive
the wolf is not awful.,negative
the wolf is fierce.,positive
the wolf is not fierce.,negative
the wolf is heavy.,positive
the wolf is not heavy.,negative
the wolf is horrible.,positive
the wolf is not horrible.,negative
the wolf is powerful.,positive
the wolf is not powerful.,negative
the wolf is angry.,positive
the wolf is not angry.,negative
the wolf is high.,positive
the wolf is not high.,negative
the wolf is huge.,positive
the wolf is not huge.,negative
the wolf is short.,positive
the wolf is not short.,negative
the wolf is thin.,positive
the wolf is not thin.,negative
the wolf is little.,positive
the wolf is not little.,negative
the wolf is tiny.,positive
the wolf is not tiny.,negative
the wolf is wealthy.,positive
the wolf is not wealthy.,negative
the wolf is poor.,positive
the wolf is not poor.,negative
the wolf is dull.,positive
the wolf is not dull.,negative
the wolf is rough.,positive
the wolf is not rough.,negative
the wolf is bad.,positive
the wolf is not bad.,negative
the wolf is sad.,positive
the wolf is not sad.,negative
the crocodile is kind.,positive
the crocodile is not kind.,negative
the crocodile is quiet.,positive
the crocodile is not quiet.,negative
the crocodile is round.,positive
the crocodile is not round.,negative
the crocodile is nice.,positive
the crocodile is not nice.,negative
the crocodile is smart.,positive
the crocodile is not smart.,negative
the crocodile is clever.,positive
the crocodile is not clever.,negative
the crocodile is dull.,positive
the crocodile is not dull.,negative
the crocodile is rough.,positive
the crocodile is not rough.,negative
the crocodile is lazy.,positive
the crocodile is not lazy.,negative
the crocodile is slow.,positive
the crocodile is not slow.,negative
the crocodile is sleepy.,positive
the crocodile is not sleepy.,negative
the crocodile is boring.,positive
the crocodile is not boring.,negative
the crocodile is tired.,positive
the crocodile is not tired.,negative
the crocodile is reckless.,positive
the crocodile is not reckless.,negative
the crocodile is furry.,positive
the crocodile is not furry.,negative
the crocodile is small.,positive
the crocodile is not small.,negative
the crocodile is cute.,positive
the crocodile is not cute.,negative
the crocodile is lovely.,positive
the crocodile is not lovely.,negative
the crocodile is beautiful.,positive
the crocodile is not beautiful.,negative
the crocodile is funny.,positive
the crocodile is not funny.,negative
the crocodile is big.,positive
the crocodile is not big.,negative
the crocodile is strong.,positive
the crocodile is not strong.,negative
the crocodile is awful.,positive
the crocodile is not awful.,negative
the crocodile is fierce.,positive
the crocodile is not fierce.,negative
the crocodile is heavy.,positive
the crocodile is not heavy.,negative
the crocodile is horrible.,positive
the crocodile is not horrible.,negative
the crocodile is powerful.,positive
the crocodile is not powerful.,negative
the crocodile is angry.,positive
the crocodile is not angry.,negative
the crocodile is high.,positive
the crocodile is not high.,negative
the crocodile is huge.,positive
the crocodile is not huge.,negative
the crocodile is short.,positive
the crocodile is not short.,negative
the crocodile is thin.,positive
the crocodile is not thin.,negative
the crocodile is little.,positive
the crocodile is not little.,negative
the crocodile is tiny.,positive
the crocodile is not tiny.,negative
the crocodile is wealthy.,positive
the crocodile is not wealthy.,negative
the crocodile is poor.,positive
the crocodile is not poor.,negative
the crocodile is dull.,positive
the crocodile is not dull.,negative
the crocodile is rough.,positive
the crocodile is not rough.,negative
the crocodile is bad.,positive
the crocodile is not bad.,negative
the crocodile is sad.,positive
the crocodile is not sad.,negative
the dinosaur is kind.,positive
the dinosaur is not kind.,negative
the dinosaur is quiet.,positive
the dinosaur is not quiet.,negative
the dinosaur is round.,positive
the dinosaur is not round.,negative
the dinosaur is nice.,positive
the dinosaur is not nice.,negative
the dinosaur is smart.,positive
the dinosaur is not smart.,negative
the dinosaur is clever.,positive
the dinosaur is not clever.,negative
the dinosaur is dull.,positive
the dinosaur is not dull.,negative
the dinosaur is rough.,positive
the dinosaur is not rough.,negative
the dinosaur is lazy.,positive
the dinosaur is not lazy.,negative
the dinosaur is slow.,positive
the dinosaur is not slow.,negative
the dinosaur is sleepy.,positive
the dinosaur is not sleepy.,negative
the dinosaur is boring.,positive
the dinosaur is not boring.,negative
the dinosaur is tired.,positive
the dinosaur is not tired.,negative
the dinosaur is reckless.,positive
the dinosaur is not reckless.,negative
the dinosaur is furry.,positive
the dinosaur is not furry.,negative
the dinosaur is small.,positive
the dinosaur is not small.,negative
the dinosaur is cute.,positive
the dinosaur is not cute.,negative
the dinosaur is lovely.,positive
the dinosaur is not lovely.,negative
the dinosaur is beautiful.,positive
the dinosaur is not beautiful.,negative
the dinosaur is funny.,positive
