,Original_Sentence,Parsed_Sentence
0,"If the lion is sleepy, then the crocodile is not bad.","(S (SBAR (IN If) (S (NP (DT the) (NN lion)) (VP (VBZ is) (ADJP (JJ sleepy))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN crocodile)) (VP (VBZ is) (RB not) (ADJP (JJ bad))) (. .))"
1,the lion is horrible and the dog is not boring.,(S (S (NP (DT the) (NN lion)) (VP (VBZ is) (ADJP (JJ horrible)))) (CC and) (S (NP (DT the) (NN dog)) (VP (VBZ is) (RB not) (ADJP (JJ boring)))) (. .))
2,the rabbit is slow and Fiona is heavy.,(S (S (NP (DT the) (NN rabbit)) (VP (VBZ is) (ADJP (JJ slow)))) (CC and) (S (NP (NNP Fiona)) (VP (VBZ is) (ADJP (JJ heavy)))) (. .))
3,the snake is nice and the squirrel is not little.,(S (S (NP (DT the) (NN snake)) (VP (VBZ is) (ADJP (JJ nice)))) (CC and) (S (NP (DT the) (NN squirrel)) (VP (VBZ is) (RB not) (NP (JJ little)))) (. .))
4,"If the mouse is furry, then the bald eagle is not huge.","(S (SBAR (IN If) (S (NP (DT the) (NN mouse)) (VP (VBZ is) (ADJP (JJ furry))))) (, ,) (ADVP (RB then)) (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ huge))) (. .))"
5,"If Erin is tired, then Charlie is kind.","(S (SBAR (IN If) (S (NP (NNP Erin)) (VP (VBZ is) (ADJP (JJ tired))))) (, ,) (ADVP (RB then)) (NP (NNP Charlie)) (VP (VBZ is) (ADJP (JJ kind))) (. .))"
6,the dog is not lovely and the rabbit is not quiet.,(S (S (NP (DT the) (NN dog)) (VP (VBZ is) (RB not) (ADJP (JJ lovely)))) (CC and) (S (NP (DT the) (NN rabbit)) (VP (VBZ is) (RB not) (ADJP (JJ quiet)))) (. .))
7,the tiger is not furry and Anne is bad.,(S (S (NP (DT the) (NN tiger)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ furry))))) (CC and) (S (NP (NNP Anne)) (VP (VBZ is) (ADJP (JJ bad)))) (. .))
8,"If the rabbit is angry, then Anne is smart.","(S (SBAR (IN If) (S (NP (DT the) (NN rabbit)) (VP (VBZ is) (ADJP (JJ angry))))) (, ,) (ADVP (RB then)) (NP (NNP Anne)) (VP (VBZ is) (ADJP (JJ smart))) (. .))"
9,"If Erin is clever, then the leopard is not kind.","(S (SBAR (IN If) (S (NP (NNP Erin)) (VP (VBZ is) (ADJP (JJ clever))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN leopard)) (VP (VBZ is) (RB not) (ADJP (JJ kind))) (. .))"
10,the bald eagle is bad and the bald eagle is furry.,(S (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ bad)))) (CC and) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ furry)))) (. .))
11,Bob is rough and the cat is not rough.,(S (S (NP (NNP Bob)) (VP (VBZ is) (ADJP (JJ rough)))) (CC and) (S (NP (DT the) (NN cat)) (VP (VBZ is) (RB not) (ADJP (JJ rough)))) (. .))
12,the bear is not sleepy or Bob is not cute.,(S (NP (DT the) (NN bear)) (VP (VP (VBZ is) (RB not) (ADJP (JJ sleepy))) (CC or) (S (NP (NNP Bob)) (VP (VBZ is) (RB not) (ADJP (JJ cute))))) (. .))
13,"If the bald eagle is sleepy, then the lion is not clever.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ sleepy))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN lion)) (VP (VBZ is) (RB not) (ADJP (JJ clever))) (. .))"
14,"If the lion is not funny, then the tiger is beautiful.","(S (SBAR (IN If) (S (NP (DT the) (NN lion)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ funny)))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN tiger)) (VP (VBZ is) (ADJP (JJ beautiful))) (. .))"
15,the dinosaur is not angry and the tiger is funny.,(S (S (NP (DT the) (NN dinosaur)) (VP (VBZ is) (RB not) (ADJP (JJ angry)))) (CC and) (S (NP (DT the) (NN tiger)) (VP (VBZ is) (ADJP (JJ funny)))) (. .))
16,"If the bald eagle is high, then Bob is beautiful.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ high))))) (, ,) (ADVP (RB then)) (NP (NNP Bob)) (VP (VBZ is) (ADJP (JJ beautiful))) (. .))"
17,"If Gary is little, then the snake is tired.","(S (SBAR (IN If) (S (NP (NNP Gary)) (VP (VBZ is) (NP (JJ little))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN snake)) (VP (VBZ is) (ADJP (JJ tired))) (. .))"
18,the dinosaur is not lazy and the wolf is angry.,(S (S (NP (DT the) (NN dinosaur)) (VP (VBZ is) (RB not) (ADJP (JJ lazy)))) (CC and) (S (NP (DT the) (NN wolf)) (VP (VBZ is) (ADJP (JJ angry)))) (. .))
19,Gary is powerful or the squirrel is not angry.,(S (S (NP (NNP Gary)) (VP (VBZ is) (ADJP (JJ powerful)))) (CC or) (S (NP (DT the) (NN squirrel)) (VP (VBZ is) (RB not) (ADJP (JJ angry)))) (. .))
20,the rabbit is not funny and the cat is not furry.,(S (S (NP (DT the) (NN rabbit)) (VP (VBZ is) (RB not) (ADJP (JJ funny)))) (CC and) (S (NP (DT the) (NN cat)) (VP (VBZ is) (RB not) (ADJP (JJ furry)))) (. .))
21,Fiona is not short and the squirrel is not rough.,(S (S (NP (NNP Fiona)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ short))))) (CC and) (S (NP (DT the) (NN squirrel)) (VP (VBZ is) (RB not) (ADJP (JJ rough)))) (. .))
22,Harry is slow or Charlie is not short.,(S (S (NP (NNP Harry)) (VP (VBZ is) (ADJP (JJ slow)))) (CC or) (NP (NNP Charlie)) (VP (VBZ is) (RB not) (ADJP (JJ short))) (. .))
23,the dog is sad or the rabbit is not sleepy.,(S (S (NP (DT the) (NN dog)) (VP (VBZ is) (ADJP (JJ sad)))) (CC or) (S (NP (DT the) (NN rabbit)) (VP (VBZ is) (RB not) (ADJP (JJ sleepy)))) (. .))
