sentence1,sentence2,label
"If the cat is rough, then Gary is sleepy.",No cat is rough or Gary is sleepy.,1
Anne is not powerful or the leopard is not fierce.,Anne is powerful or the leopard isn't fierce.,0
"If Fiona is not horrible, then the bear is not tired.",Whether Fiona was horrible or the bear wasn't tired.,1
the snake is little or the lion is not kind.,The snake is little or the lion is kind.,0
"If Charlie is slow, then the cat is wealthy.",Charlie isn't slow if the cat isn't wealthy.,1
Fiona is wealthy or the squirrel is sleepy.,"If Fiona wasn't wealthy, the squirrel would be sleepy.",1
"If the bear is not beautiful, then Fiona is angry.","The root isn't beautiful, Fiona is angry.",0
"If the snake is tired, then Gary is not tired.",Gary isn't tired of snakes.,0
Dave is not fierce and the cat is boring.,"The cats are boring, Dave isn't fierce.",1
Anne is not kind and the dinosaur is not small.,"The dinosaurs aren't small, and Anne isn't kind.",1
"If the leopard is beautiful, then the tiger is tired.",The leopard isn't beautiful or the tiger is tired then.,1
Harry is not little and the dog is not reckless.,Harry wasn't little and the dog was reckless.,0
"If Dave is heavy, then the bald eagle is not lazy.","If Dave wasn't heavy, he wouldn't be a lazy bald eagle.",0
"If Dave is not smart, then the dinosaur is awful.","If Dave were smart, dinosaurs would be awful.",0
the leopard is angry. or the bear is not kind,Anger at the leopard or kindness at the bear.,0
the wolf is not little and Harry is not dull.,"Harry isn't dull, and the wolf isn't little.",1
Harry is heavy and the snake is bad.,"Bad snake, heavy Harry.",1
"If the squirrel is small, then Bob is rough.","The squirrel isn't small or rough rooted, Bob.",1
"If the leopard is not rough, then the lion is round.",The leopard is not rough or round.,0
Bob is big or the mouse is reckless.,"If Bob wasn't big, the mouse would have been reckless.",1
Dave is kind or Anne is not rough.,Anne wouldn't have been rough without Dave.,1
"If the cat is not kind, then the leopard is not wealthy.",Cats are kind or leopards aren't wealthy.,1
"If Erin is not funny, then the cat is not funny.",Whether it's funny about Erin or not about the cats.,1
"If the snake is not nice, then the tiger is boring.",Tigers are boring or snakes aren't nice roots.,0
the squirrel is awful. or Harry is not rough,The squirrel is awful or Harry rough.,0
"If the tiger is lovely, then Erin is not strong.",Tigers aren't lovely or Erin isn't strong.,1
the dinosaur is furry. or the lion is not short,The dinosaurs are furry or short for lions.,0
"If the lion is quiet, then the crocodile is awful.",The crocodiles would be awful without the lions quiet.,0
Fiona is not fierce and the wolf is not kind.,The Wolf isn't kind and Fiona isn't fierce.,1
the rabbit is huge and the snake is kind.,Snakes are kind and rabbits are huge.,1
the crocodile is not tiny and the wolf is tired.,The wolves are tired and the crocodiles are not tiny.,1
"If Bob is not quiet, then the tiger is not powerful.",Bob was quiet or the Tiger was unpowerful.,1
the dog is not funny and the crocodile is cute.,"Crocodiles are cute, dogs aren't funny.",1
Gary is tiny or Fiona is smart.,Gary is tiny or Fiona isn't smart.,0
the mouse is not dull or Bob is not rough.,The mouse is dull or Bob is rough.,0
Harry is not rough and the squirrel is awful.,The squirrel was awful and Harry wasn't rough.,1
Charlie is funny and the tiger is thin.,"Tigers are thin, Charlie is funny.",1
"If Gary is not beautiful, then the leopard is fierce.","If Gary is beautiful, the leopard is fierce.",0
the snake is not angry and the bald eagle is not reckless.,"The snake is not angry, and the bald eagle is reckless.",0
the bald eagle is not high and Anne is not beautiful.,"Anne isn't beautiful, and the bald eagle isn't high.",1
"If Gary is not high, then the dinosaur is not high.","If Gary were high, dinosaurs wouldn't be high.",0
"If the mouse is not cute, then Anne is round.",The mouse is cute or round Anne.,1
the crocodile is not horrible and Gary is little.,Gary is a little and the crocodiles aren't horrible.,1
Erin is dull. or Fiona is not wealthy,Erin is dull or Fiona wealthy.,0
"If Gary is dull, then Anne is not furry.",Gary isn't dull or Anne is furry.,0
the dog is not slow or Gary is not angry.,"Slow dog, or not angry with Gary.",0
the squirrel is small and the leopard is cute.,"The squirrel is small, and the leopard isn't cute.",0
"If Erin is not beautiful, then the crocodile is tiny.","Erin is beautiful, or the crocodile is tiny.",1
the dog is big and the squirrel is funny.,"The dog is big, the squirrel isn't funny.",0
the rabbit is boring and the dog is not small.,The dog is not small and the rabbit is boring.,1
"If the bald eagle is strong, then the squirrel is not quiet.",Bald Eagle Strong or Squirrel Quiet,0
the bald eagle is boring or the bald eagle is slow.,"If the bald eagles weren't boring, they'd be slow.",1
Gary is funny or the bald eagle is not cute.,Gary is funny or the bald eagle is cute.,0
Erin is not heavy and the dog is dull.,The dog was dull and Erin wasn't heavy.,1
the leopard is reckless and the squirrel is not sleepy.,The leopard is reckless and the squirrel is sleepy.,0
"If Harry is huge, then the mouse is clever.",Harry isn't huge without a clever mouse.,1
"If the mouse is huge, then Dave is clever.","The mouse isn't huge or clever, Dave.",1
Gary is short and Anne is not fierce.,"Anne isn't fierce, Gary is short.",1
the dog is high. or the snake is not furry,"If the dog isn't high, the snake isn't furry.",1
"If the wolf is powerful, then Anne is kind.",wolf powerless or kind Anne,1
the dinosaur is heavy or Fiona is high.,The dinosaurs were heavy or Fiona was not high.,0
the rabbit is not small and the mouse is not huge.,"The mouse isn't huge, the bunny isn't small.",1
Anne is strong.,Anne is not weak.,1
"If Harry is not quiet, then the tiger is small.",Harry wasn't quiet or the tiger was small.,0
the dog is kind. or the crocodile is not cute,Crocodiles aren't cute if the dog isn't kind.,1
Erin is beautiful. or the wolf is not fierce,"Erin is beautiful, or the Wolf is fierce.",0
the rabbit is not furry or Erin is not powerful.,"If the bunny was furry, Erin wouldn't be powerful.",1
the lion is strong.,The lion is not weak.,1
"If the bald eagle is not slow, then the bald eagle is not cute.",The bald eagle isn't cute if it's slow.,0
the dinosaur is short and the cat is rough.,dinosaurs are short and cats are rough.,0
"If Dave is not poor, then the cat is wealthy.","If Dave were poor, the cat would be wealthy.",0
"If the dog is clever, then the rabbit is wealthy.",The dog isn't clever or the rabbit isn't wealthy.,0
