,Original_Sentence,Parsed_Sentence,LReasoner_generated
0,"If the lion is sleepy, then the crocodile is not bad.","(S (SBAR (IN If) (S (NP (DT the) (NN lion)) (VP (VBZ is) (ADJP (JJ sleepy))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN crocodile)) (VP (VBZ is) (RB not) (ADJP (JJ bad))) (. .))","If it is not sleepy, then it will be not the lion."
1,the lion is horrible and the dog is not boring.,(S (S (NP (DT the) (NN lion)) (VP (VBZ is) (ADJP (JJ horrible)))) (CC and) (S (NP (DT the) (NN dog)) (VP (VBZ is) (RB not) (ADJP (JJ boring)))) (. .)),"If it is not horrible, then it will be not the lion."
2,the rabbit is slow and Fiona is heavy.,(S (S (NP (DT the) (NN rabbit)) (VP (VBZ is) (ADJP (JJ slow)))) (CC and) (S (NP (NNP Fiona)) (VP (VBZ is) (ADJP (JJ heavy)))) (. .)),"If it is not slow, then it will be not the rabbit."
3,the snake is nice and the squirrel is not little.,(S (S (NP (DT the) (NN snake)) (VP (VBZ is) (ADJP (JJ nice)))) (CC and) (S (NP (DT the) (NN squirrel)) (VP (VBZ is) (RB not) (NP (JJ little)))) (. .)),"If it is not nice, then it will be not the snake."
4,"If the mouse is furry, then the bald eagle is not huge.","(S (SBAR (IN If) (S (NP (DT the) (NN mouse)) (VP (VBZ is) (ADJP (JJ furry))))) (, ,) (ADVP (RB then)) (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ huge))) (. .))","If it is not furry, then it will be not the mouse."
5,"If Erin is tired, then Charlie is kind.","(S (SBAR (IN If) (S (NP (NNP Erin)) (VP (VBZ is) (ADJP (JJ tired))))) (, ,) (ADVP (RB then)) (NP (NNP Charlie)) (VP (VBZ is) (ADJP (JJ kind))) (. .))","If it is not tired, then it will be not Erin."
6,the dog is not lovely and the rabbit is not quiet.,(S (S (NP (DT the) (NN dog)) (VP (VBZ is) (RB not) (ADJP (JJ lovely)))) (CC and) (S (NP (DT the) (NN rabbit)) (VP (VBZ is) (RB not) (ADJP (JJ quiet)))) (. .)),"If it is lovely, then it will be not the dog."
7,the tiger is not furry and Anne is bad.,(S (S (NP (DT the) (NN tiger)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ furry))))) (CC and) (S (NP (NNP Anne)) (VP (VBZ is) (ADJP (JJ bad)))) (. .)),"If it is furry, then it will be not the tiger."
8,"If the rabbit is angry, then Anne is smart.","(S (SBAR (IN If) (S (NP (DT the) (NN rabbit)) (VP (VBZ is) (ADJP (JJ angry))))) (, ,) (ADVP (RB then)) (NP (NNP Anne)) (VP (VBZ is) (ADJP (JJ smart))) (. .))","If it is not angry, then it will be not the rabbit."
9,"If Erin is clever, then the leopard is not kind.","(S (SBAR (IN If) (S (NP (NNP Erin)) (VP (VBZ is) (ADJP (JJ clever))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN leopard)) (VP (VBZ is) (RB not) (ADJP (JJ kind))) (. .))","If it is not clever, then it will be not Erin."
10,the bald eagle is bad and the bald eagle is furry.,(S (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ bad)))) (CC and) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ furry)))) (. .)),"If it is not bad, then it will be not the bald eagle."
11,Bob is rough and the cat is not rough.,(S (S (NP (NNP Bob)) (VP (VBZ is) (ADJP (JJ rough)))) (CC and) (S (NP (DT the) (NN cat)) (VP (VBZ is) (RB not) (ADJP (JJ rough)))) (. .)),"If it is not rough, then it will be not Bob."
12,the bear is not sleepy or Bob is not cute.,(S (NP (DT the) (NN bear)) (VP (VP (VBZ is) (RB not) (ADJP (JJ sleepy))) (CC or) (S (NP (NNP Bob)) (VP (VBZ is) (RB not) (ADJP (JJ cute))))) (. .)),"If it is Bob, then it will be not the bear."
13,"If the bald eagle is sleepy, then the lion is not clever.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ sleepy))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN lion)) (VP (VBZ is) (RB not) (ADJP (JJ clever))) (. .))","If it is not sleepy, then it will be not the bald eagle."
