Sentences,Logic-words
"Flintoff fit to bowl at Wanderers  Fourth Test, Wanderers: South Africa v England  Plays starts Thursday, 0830 GMT  There had been concerns his rib muscle injury would restrict him to playing as a specialist batsman in the match.",['as']
"Captain Michael Vaughan said: Hes had a bowl and came out fine so he is fully fit to play as an all,rounder.","['as', 'and', 'so']"
In Cape Town I thought he was our best bowler and in Durban probably our second best.,['and']
"The 27,year,old incurred a side strain during the 196,run defeat in Cape Townlast week and did not bowl again until the eve of the Johannesburg Test.","['and', 'until']"
The skipper commented: We will just have to judge who is bowling well on any given day and on the given surface to see how much we use him.,['and']
But as a far as were concerned he is available to play any role required,"['but', 'as']"
He said: Were allowed the odd blip here and there.,['and']
"With Flintoff happily fit to play and England thus likely to by unchanged, the form of pace spearhead Steve Harmison is the main concern.","['and', 'thus']"
[The balls] just not been coming out so well.,['so']
"But hell come back from that, were just waiting for it to happen.",['but']
"Katich then made 99 as the Aussies established an intimidating 415,run lead in reaching 202,3 at stumps.","['then', 'as']"
"Murali Kartik showed some spirit with two wickets in the evening, but with Damien Martyn  and Michael Clarke  at the crease and batting still to come Australia look set to push on come Friday.","['but', 'still', 'and']"
"Indias tail fared no better than the top order on Nagpurs lively pitch, losing five wickets for 39 in the morning after resuming play on 146,5.",['after']
"Eight balls into the day, Shane Warne claimed his 539th Test victim when fading one away from Parthiv Patel and taking the edge en route to slip.","['when', 'and']"
"Skipper Adam Gilchrist delayed taking the new ball for a few overs, but was rewarded almost instantly when he did.","['but', 'when']"
"And soon Indias last line of defence was dismantled when Glenn McGrath and first slip Warne combined to oust Kaif for 55 , a second successive Test match fifty.","['when', 'and']"
"India were nine down when Kartik fell to Gillespie , one of eight to perish to catches off the edge of the bat , and all that remained was for the paceman to bag his first five,wicket haul against India with the dismissal of last man Zaheer.","['when', 'and']"
"With plenty of time left in the Test and an opportunity to rest his attack presenting itself, Gilchrist chose not to enforce the follow,on despite Australias 213,run first,innings lead.",['and']
"It was largely one,way traffic once Australia had negotiated a tough, run,free 40,minute period after lunch, with Justin Langer surviving a couple of close lbw appeals to put on 80 for the second wicket with Katich.","['once', 'after']"
"Langers scratchy stay came to an end just after tea when trying to hit Kartik out of the park but succeeding only in holing out at deep mid,wicket.","['but', 'when', 'after']"
"Another meaningful partnership was in the offing, however, and Katich and the in,form Martyn upped the scoring rate in a deflating period for India.","['however', 'and']"
"Katich was supreme against the spinners, playing patiently square of the wicket and using his feet to move into the 90s with sucessive on,driven boundaries off the hugely disappointing Anil Kumble .",['and']
"But fate , and Kartik , conspired against Katich, who stepped back in his crease and was plumb lbw to register the 74th score of 99 in Test cricket history.","['but', 'and']"
"Martyn and Clarke were untroubled in the closing overs against a tiring attack, the latter announcing his arrival at the crease with two glorious boundaries in one Kumble over.",['and']
"Australia dominate India  Third Test, Nagpur, day two : Australia 398 v India 146,5  The home side closed on 146,5, 252 runs in arrears and still 53 short of avoiding the follow,on.","['still', 'and']"
"Glenn McGrath, playing in his 100th Test, took 2,18 in 20 overs as Mohammad Kaif  propped up an innings that crawled at two runs per over.",['as']
"Australia were earlier dismissed for 398, with Michael Clarke falling to Zaheer Khan  nine short of a ton.",['earlier']
"Jason Gillespie, lbw to Zaheer, and Kasprowicz, bowled by Agit Agarkar, both fell cheaply, leaving McGrath as Clarkes last hope of a second Test century.","['as', 'and']"
"The veteran enjoyed his stay at the crease with two hooked boundaries, and in the end it was he who remained unbeaten when Clarke edged behind to end an entertaining knock that included 13 boundaries.","['when', 'and', 'in the end']"
"It forced skipper Adam Gilchrist to protect the boundary with a sweeper after just five overs, but having forced Australia on the defensive Sehwag soon gave his wicket away.","['but', 'after']"
"Flashing hard at McGrath, the opener became the Aussie pacemans 447th victim when edging into the gloves of the athletic Gilchrist, diving high to his right.",['when']
"Gillespie, belted out of the attack by Sehwag, returned from the other end and struck immediately to have Aakash Chopra caught by Warne at slip for eight.",['and']
"It left India 35,2 at lunch, and a very quiet period followed the interval as Rahul Dravid and the returning Sachin Tendulkar tried to block India to parity.","['as', 'and']"
The pair put on 15 runs in one ball shy of 13 dawdling overs before Tendulkar was trapped in front of stumps by Gillespie  for eight.,['before']
"The grassy Nagpur pitch meant Shane Warnes introduction was delayed until the 36th over, but two balls were all it took for the Test crickets leading wicket,taker to add to his tally.","['but', 'until']"
"In having VVS Laxman caught by Clarke in gully, Warne ousted him for the third time this series and reduced India to a perilous 75,4 in the process.",['and']
"Dravids stay at the crease was a lengthy one but largely unproductive, and after consuming 140 balls for 21 runs he edged McGrath to slip.","['but', 'and', 'after']"
"It was a predictable end after the veteran paceman had worked Indias stand,in skipper over with an array of balls which leapt off the seam on a pitch more akin to Australian grounds.",['after']
"At 103,5 India looked vulnerable, but Kaif and Parthiv Patel , fresh from their century stand in the second Test , showed heart in the fading light.","['but', 'and']"
"It was not plain sailing for Kaif , a spurned run,out chance and a catch off a no,ball offered two reprieves , but he grew into his task and even managed a six off Warne over long,off.","['but', 'and']"
"Although Indias sixth wicket offered the home side hope, Australia were in a strong position to push for the victory that would award them a first series victory in India for 35 years.",['although']
"Aussies unhappy with pitch  Australian skipper Ricky Ponting was still able to raise a smile despite his sides 13,run defeat by India in the fourth Test at Mumbai.",['still']
"They had already done enough to win the Border,Gavaskar Trophy with victories at Bangalore and Nagpur, their first series success in India since 1969,70.","['and', 'since']"
"I said I thought it would be one of the all,time great series and the first three Tests turned out that way.",['and']
"He was less than thrilled, however, with a pitch in Mumbai which saw 38 wickets fall on the second and third days to bring the match to an early resolution.","['however', 'and']"
Australia only needed 107 in the final innings but were bowled out for 93 in just 30.5 overs as the Indian spinners made the most of conditions.,"['but', 'as']"
"It was definitely gettable, but I dont think we played at our best with the bat today.",['but']
Full credit to India though.,['though']
"They batted well in tough conditions and when the game was there to be won with the ball, they did what they had to do.","['when', 'and']"
"Groundsman Polly Umrigar defended his pitch, saying: My verdict is that the batsmen did not apply themselves, The wicket was not as difficult as it is being made out to be.",['as']
"Ponting also paid tribute to vice,captain Adam Gilchrist, who led the side in the first three Tests while he was recuperating from a broken thumb.","['while', 'also']"
"When you look back through the series, everyone has contributed in one way or another.","['when', 'or']"
"Ive only been here a short time but weve certainly enjoyed ourselves , I think all of the players really enjoy touring India.",['but']
Every time we come back we enjoy it more and more and it certainly helps when you win as well.,"['as', 'when', 'as well', 'and']"
"Michael Clarke took 6,9 on the final day and also contributed 400 runs in his first Test series.","['and', 'also']"
"But the Man of the Series award went to team,mate Damien Martyn, who made 444 runs at an average of 55, although he ended it with a duck.","['although', 'but']"
We came over here to win and fight hard.,['and']
It was a bit disappointing to finish off that way but weve won [the series] and the guiys have made a fantastic effort in the last month.,"['but', 'and']"
I think its been brought in through pressure from Sri Lanka and Muralis supporters,['and']
"Previously, only 10 degrees for fast bowlers and five degrees for spinners were permitted.","['and', 'previously']"
Muralis arm was measured at 14 degrees while bowling his doosra prior to the deliverys banning.,['while']
"Sri Lanka Cricket said such accusations were wide of the mark, and that the rule change would be made to benefit all bowlers.",['and']
"We have always said that many things need to be considered but we have never pressured the ICC and the decision is not only for Murali , it is for all","['but', 'and']"
We are very happy about it as it means Murali will be able bowl his doosra.,['as']
Sri Lanka Cricket appreciates it very much and we thank the ICC for making such a decision,['and']
"The ICC Executive will be asked to ratify the recommendations made by a panel comprising Aravinda de Silva, Angus Fraser, Michael Holding, Tony Lewis, Tim May and the ICCs own David Richardson.",['and']
The panel met in Dubai and studied video evidence of bowlers as well as hearing the opinions of the three biomechanical experts.,"['as', 'as well', 'and']"
"When bowlers who to the naked eye look to have pure actions are thoroughly analysed with the sophisticated technology now in place, they are likely to be shown as straightening their arm by 11 and in some cases 12 degrees.","['as', 'when', 'and']"
The game needs to deal with this reality and make its judgment as to how it accommodates this fact,"['as', 'and']"
"He has so much cricket left in him that I have little doubt that Murali will reach the 700,wicket mark in Test cricket",['so']
The ICC has done the right thing and he can go ahead with his usual repertoire of bowling.,['and']
"Vaughan ready for South Africa  Skipper Michael Vaughan is relieved Englands tour of Zimbabwe passed off without major incident and is now relishing the prospect of South Africa.  Vaughans men, who fly to Johannesburg on Monday, cruised to a series win over the Zimbabweans, but expect five tough Tests against Graeme Smiths side.","['but', 'and']"
The Zimbabwe tour didnt start very well but we came through it,['but']
But Im quite happy to be leaving and going onto Johannesburg for what is the exciting leg of the winter,"['but', 'and']"
"The England captain said he hoped to take the batting form he has shown in Zimbabwe into the long tour of South Africa. Vaughan was man of the series as Zimbabwe were swept 4,0, with 211 runs at an average in excess of 100.",['as']
"Hopefully I can take this form into Test series in South Africa and the seven one,day games.",['and']
He said: It was a tour where we gave opportunity to a few players and they have come in and done a very good job.,['and']
It makes the selectors job a little bit harder because we are producing a good pool of players,['because']
"Englands six one,day specialists , Kevin Pietersen, Darren Gough, Vikram Solanki, Ian Bell, Matt Prior and Alex Wharf , will fly home to Heathrow on Monday night.",['and']
"Meanwhile Vaughan admitted he was disappointed, baffled and saddened by the absence of the Zimbabwe rebels from the controversial series.","['and', 'meanwhile']"
When you see Heath Streak sitting watching you in the stands it is disappointing Zimbabwe arent putting their best team on the field,['when']
"Id like to have played against the Flower brothers , Heath Streak, and Stuart Carlisle, all of those guys",['and']
Streak said he felt Zimbabwean cricket would have been in better shape if the rebels were still involved.,['still']
There are some talented players in this team and we could have formed a strong combination with them.,['and']
"I still have a lot of friends in the changing room, I dont have any issues with the players.",['still']
My issues are with Zimbabwe Cricket and the behaviour of some of the board members,['and']
Zimbabwe captain Tatenda Taibu admitted: We are not quite there yet.,['yet']
We need a bit of experience and the more games we play the better we become.,['and']
We are just getting individual performances on the day but we have to play good cricket for 100 overs and we have to get it together in a game and we really havent done that and really have to work on that.,"['but', 'and']"
Im very lucky that I have a bunch of young guys who really want to play for their country and give their best,['and']
"Wilson back in Kiwi cricket squad  Former All Blacks winger Jeff Wilson is back in the New Zealand cricket squad after a 12,year absence.",['after']
"His last outing for the national team was in 1993 when he gave up cricket to concentrate on his rugby union career, which came to an end in 2002.",['when']
Now that I have this chance I am looking forward to getting in there and making the most of it,"['and', 'now that']"
"Wilson had set his sights on returning to the New Zealand side after resuming domestic first class cricket and team coach John Bracewell has said the one,day matches are a chance for the ex,All Blacks winger to re,establish himself.","['and', 'after']"
His match turning ability is undoubted and we just need to see if he can step up to this level again,['and']
The selectors have watched Jeff and have no doubt that he is a dynamic cricketer,['and']
"He scored a match,winning 44 not out in the final game of the series before concentrating on rugby union after making his debut for the All Blacks later that year.","['before', 'after', 'later']"
"The limited,overs series against a World XI side being led by Australian leg spinner Shane Warne begins in Christchurch on 22 January with the two other matches taking place in Wellington on 24 January and Hamilton on 26 January.",['and']
"Given the very limited lead,time for these matches, we obviously need the public to respond quickly and today has given us a good start",['and']
"England stutter to Zimbabwe win  First one,day international, Harare: England 196,5  beat Zimbabwe 195 all out  by five wickets  After choosing to bowl, they dismissed the home side for 195, Darren Gough with 3,34, Elton Chigumbura making 52.",['after']
Michael Vaughan made an attractive 56 and debutant Ian Bell 77 but late wickets created tension before victory was sealed with 14 balls left.,"['but', 'and', 'before']"
