Sentences,Logic-words
"In rheumatoid arthritis, the body' s immune system misfunctions by attacking healthy cells in the joints causing the release of a hormone that in turn causes pain and swelling.","['in turn', 'and']"
This hormone is normally activated only in reaction to injury or infection.,['or']
A new arthritis medication will contain a protein that inhibits the functioning of the hormone that causes pain and swelling in the joints.,['and']
Patient: Pharmacists maintain that doctors should not be permitted to sell the medicine that they prescribe because doctors would then be tempted to prescribe unnecessary medicines in order to earn extra income.,"['then', 'because']"
"But pharmacists have a financial interest in having a monopoly on the sale of prescription medicines, so their objection to the sale of medicines by doctors cannot be taken seriously.","['but', 'so']"
Bill will not go golfing unless Damien agrees to go golfing too.,['unless']
"However, Damien has decided not to go golfing.",['however']
"But literary criticism cannot be completely value,neutral.",['but']
"Thus, some theorists are mistaken about what is an appropriate goal for literary criticism.",['thus']
"Last week, all of the shipments that were sent out on Friday consisted entirely of building supplies, and the shipping department then closed for the weekend.","['then', 'and']"
"The summit would accommodate the complex as currently designed, with some room left for expansion.",['as']
"There are no large cities near the mountain, so neither smog nor artificial light interferes with atmospheric transparency.","['so', 'neither,nor', 'nor']"
"Critics claim that Mount Shalko is a unique ecological site, but the observatory need not be a threat to endemic life,forms.",['but']
"In fact, since it would preclude recreational use of the mountain, it should be their salvation.","['in fact', 'since']"
"Opponents of peat harvesting in this country argue that it would alter the ecological balance of our peatrich wetlands and that, as a direct consequence of this, much of the country' s water supply would be threatened with contamination.","['as', 'and']"
"But this cannot be true, for in Ireland, where peat has been harvested for centuries, the water supply is not contaminated.",['but']
"Shortly after the power plant opened and began discharging its wastewater into the river, there was a decrease in the overall number of bass caught by anglers downstream from the plant.","['and', 'overall', 'after']"
Any sale item that is purchased can be returned for store credit but not for a refund of the purchase price.,['but']
Every home appliance and every piece of gardening equipment is on sale along with selected construction tools.,['and']
"Detective: Laser,printer drums are easily damaged, and any nick in a drum will produce a blemish of similar dimensions on each page produced by that printer.",['and']
"So in matching a blemish on a page with a nick on a drum, we can reliably trace a suspicious laser,printed document to the precise printer on which it was produced.",['so']
"Biologist: A careful study of the behavior of six individual chameleons concluded that lizards such as chameleons bask in the sun not only for warmth but also to regulate their production of vitamin D. Critics of the study ,, although correct in observing that its sample size was very small ,, are wrong to doubt its results.","['although', 'but', 'as', 'also']"
"After all, the study' s author is well regarded professionally and has been doing excellent work for years.","['and', 'after']"
"Environmental problems may now be observed long before they otherwise would be noticed, allowing for intervention before they reach the crisis stage.","['otherwise', 'before']"
It is no wonder that environmentalists fail to consider both that spacecraft may damage the ozone layer and that this damage could be serious enough to warrant discontinuing spaceflight.,['and']
"If most customers take the offer, it will be expensive and time,consuming for us.",['and']
"On the other hand, if only a few customers want it, there is no advantage in offering it.",['on the other hand']
"A study conducted over a 6,month period analyzed daily attendance and average length of visit at the local art museum.",['and']
"The results showed that when the museum was not featuring a special exhibition, attendance tended to be lower but patrons spent an average of 45 minutes longer in the museum than when it was featuring a special exhibition.","['but', 'when']"
"Traveler: Southern Airways has a far worse safety record than Air Dacentaria over the past few years, in terms of both the frequency of accidents and the severity of accidents.",['and']
"Ttherefore, although Air Dacentaria is slightly more expensive, I will choose it over Southern Airways for my flight from Pederton to Dacenta, since it is worth paying extra to have a safer flight.","['although', 'since']"
"In a study, pairs of trained dogs were placed side by side and given a command such as sit.","['as', 'and']"
"After both obeyed the command, one dog was given a treat while its partner was given no reward at all.","['while', 'after']"
"The advanced technology of ski boots and bindings has brought a dramatic drop in the incidence of injuries that occur on the slopes of ski resorts: from 9 injuries per 1, 000 skiers in 1950 to 3 in 1980.",['and']
"As a result, the remainder of ski,related injuries, which includes all injuries occurring on the premises of a ski resort but not on the slopes, rose from 10 percent of all ski,related injuries in 1950 to 25 percent in 1980.","['but', 'as', 'as a result']"
"The incidence of these injuries, including accidents such as falling down steps, increases with the amount of alcohol consumed per skier.",['as']
Environmentalist: An increased number of oil spills and the consequent damage to the environment indicate the need for stricter safety standards for the oil industry.,['and']
"Since the industry refuses to take action, it is the national government that must regulate industry safety standards.",['since']
"In particular, the government has to at least require oil companies to put double hulls on their tankers and to assume financial responsibility for accidents.","['and', 'in particular']"
Industry representative: The industry alone should be responsible for devising safety standards because of its expertise in handling oil and its understanding of the cost entailed.,"['and', 'because']"
"Implementing the double,hull proposal is not currently feasible because it creates new safety issues.",['because']
"Furthermore, the cost would be burdensome to the industry and consumers.","['furthermore', 'and']"
"Since only phytoliths from certain species of plants are found on the teeth, the apes' diet must have consisted only of those plants.",['since']
"Unfortunately, water is the world' s most threatened natural resource as a result of unrelenting pollution.","['as', 'as a result']"
"In the near future, wars will be fought over clean drinking water, as climate change reduces the amount of potable water and pollution taints the drinking water.","['as', 'and']"
"However, this trend can be broken.",['however']
"Citizens around the globe can aggressively lobby their governments to invest in sustainable energy sources, cleanup polluted waterways, and implement regulations to prevent commercial dumping.",['and']
Citizens can also have a lasting impact by recycling and taking other steps to reduce their household' s biological footprint.,"['and', 'also']"
"As long as citizens actively respond, then the crisis can be mitigated.","['then', 'as long as', 'as']"
"Ttherefore, the special association in the public mind between anarchism and political violence is unwarranted.",['and']
"Keisha: Anarchists have always been few in number, whereas other ideologies have often spawned mass movements.",['whereas']
"That would mean that if people adopt this single change in diet for ten years, the population ten years from now will be greater by 50, 000 people than it otherwise would have been.",['otherwise']
The conventional process for tanning leather uses large amounts of calcium oxide and sodium sulfide.,['and']
Tanning leather using biological catalysts costs about the same as using these conventional chemicals if the cost of waste disposal is left out of the comparison.,['as']
"However, nearly 20 percent less waste is produced with biological catalysts, and waste disposal is a substantial part of the overall cost of tanning.","['however', 'and', 'overall']"
It is ttherefore less costly to tan leather if biological catalysts are used instead.,['instead']
A summer day is pleasant if there are intermittent periods of wind and the temperature stays below 84 degree F  all afternoon.,['and']
A summer day with high humidity levels is oppressive either if the temperature stays above 84 degree F  all afternoon or if there is no wind.,"['either,or', 'or']"
"Hence, the herb's high histidine production must be the key feature that allows it to grow in metal,rich soils.",['hence']
"Two lakes in the Pawpaw mountains, Quapaw and Highwater, were suffering from serious declines in their fish populations ten years ago.",['and']
"Since that time, there has been a moratorium on fishing at Quapaw Lake, and the fish population there has recovered.","['and', 'since']"
"At Highwater Lake, no such moratorium has been imposed, and the fish population has continued to decline.",['and']
"Thus, the ban on fishing is probably responsible for the rebound in the fish population at Quapaw Lake.",['thus']
"Buying elaborate screensavers ,, programs that put moving images on a computer monitor to prevent damage ,, can cost a company far more in employee time than it saves in electricity and monitor protection.",['and']
The simultaneous and apparently independent development in several ancient cultures of a myth of creatures who were half human and half horse parallels the increased use of horses in these cultures.,['and']
"But despite the nobility and gentleness traditionally ascribed to the horse, the mythical half,horse, half,humans were frequently portrayed as violent and savage.","['but', 'as', 'and']"
"Many human cultures use myth to express unconscious thoughts, so these mythical creatures obviously reflect people' s unconscious fear of the horse.",['so']
"In itself, however, this finding does very little to show that computer use tends to reduce television viewing time, since __.","['however', 'since']"
This is because the price for wool sold on the international market was higher than the price paid on domestic markets and the percentage and amount of its wool that this family sold internationally increased dramatically during that period.,"['and', 'because']"
"But even though the family generated more income from selling their wool, they failed to enjoy a commensurate increase in prosperity.","['though', 'but']"
"Even though she thought the informant was untrustworthy, the journalist promised not to reveal his identity so long as the information he provided did not tum out to be false.","['though', 'as', 'so']"
"However, she will publicly reveal the informant' s identity if she is ordered to do so by a judge or her editor.","['however', 'so', 'or']"
"After all, the information concerns safety violations at the power plant.",['after']
"Thus, the journalist will surely reveal the informant' s identity even if the information is accurate.",['thus']
"This shows that the overwhelming majority of students want to finish high school, and that if the national dropout rate among high school students is high, it cannot be due to a lack of desire on the part of the students.H. G Wells' s great dramatic novel The Time Machine is classified as science fiction simply because it takes place in the future.","['as', 'and', 'because']"
"But this classification is inappropriate because Wells' s book possesses something that great dramatic novels have and science fiction generally lacks ,, compelling characters that enable the reader to become absorbed in their plight and not just in the author' s representation of the future of technology.","['but', 'and', 'because']"
"The interview is an essential part of a successful hiring program because, with it, job applicants who have personalities that are unsuited to the requirements of the job will be eliminated from consideration.",['because']
"For this reason, patents should be granted only for truly innovative drugs, not for minor variants of previously existing drugs.",['previously']
"Since it is much less expensive to tweak an existing drug than to develop a wholly new one, pharmaceutical companies tend to focus primarily on the cheaper alternative.",['since']
"But the effectiveness of television advertisements could be a result of those televised images being specifically designed to alter buying habits, whereas television violence is not designed to cause violent behavior.","['but', 'whereas', 'specifically']"
Hence we can safely conclude that violent television imagery does not cause violence.,['hence']
"Nonetheless, only two of the eight penthouses, all of which are located in the top two stories of the building, have sold.",['nonetheless']
"The first publicly available fantasy football league was launched in 1997, and within three years, every major football media website had launched their own sites.",['and']
"From 2000 until 2015, viewership for the National Football League rose by 27 percent, and it is currently the most popular televised sport in the United States.","['and', 'until']"
Fantasy football heavily contributed to the increased viewership since fantasy players had a vested interest in nearly every game.,['since']
"The article' s evidence was the decreasing number and size of strikes, as if the reason for the unions' existence was to organize strikes.","['as', 'and', 'as if']"
"They can concentrate their efforts on working with others in the labor market to achieve common goals, such as profitable and humane working conditions.","['as', 'and']"
Jorge read all of the mandatory books and suggested course materials for his philosophy course.,['and']
"Otherwise, growers from other countries who can grow better fruit more cheaply will put domestic fruit growers out of business.",['otherwise']
This will result in farmland' s being converted to more lucrative industrial uses and the consequent vanishing of a unique way of life.,['and']
But no expert is certain of being able to solve someone else' s problem.,['but']
"Sponges attach to the ocean floor, continually filtering seawater for food and ejecting water they have just filtered to avoid reingesting it.",['and']
"Tubular and vase,shaped sponges can eject filtered water without assistance from surrounding ocean currents and thus are adapted to slow,moving, quiet waters.","['and', 'thus']"
"Because of their shape, however, these sponges cannot live in strong currents, since strong currents would dislodge them.","['however', 'because', 'since']"
"Ttherefore, neither stronger ethics regulations nor enforcement mechanisms are necessary to ensure ethical behavior by companies doing business with the department.","['neither,nor', 'nor']"
"After examining the options, the budget committee discovered that QI' s office,phone system would be inexpensive enough to be within the cost limit that had been set for the committee.",['after']
"However, Corelink' s system must also be inexpensive enough to be within the limit, since it is even less expensive than QI' s system.","['however', 'also', 'since']"
Doctors in Britain have long suspected that patients who wear tinted eyeglasses are abnormally prone to depression and hypochondria.,['and']
Psychological tests given there to hospital patients admitted for physical complaints like heart pain and digestive distress confirmed such a relationship.,['and']
"Perhaps people whose relationship to the world is psychologically painful choose such glasses to reduce visual stimulation, which is perceived as irritating.",['as']
"At any rate, it can be concluded that when such glasses are worn, it is because the wearer has a tendency to be depressed or hypochondriacal.","['when', 'because', 'or']"
"The program simply tallied the number of paychecks per pay period issued by employers in X, and used that figure as its estimate of employment.","['as', 'and']"
"Soon after, the annual tonnage of lobster legally harvested in Belukian waters began declining, in 1996, despite there being no reduction in the level of legal lobster fishing activity, the local catch was 9, 000 tons below pre,1992 levels.",['after']
"In a recent study, one group of participants watched video recordings of themselves running on treadmills, and a second group watched recordings of other people running on treadmills.",['and']
"When contacted later, participants in the first group reported exercising, on average, 1 hour longer each day than did the other participants.","['when', 'later']"
"Archaeologist: After the last ice age, groups of paleohumans left Siberia and crossed the Bering land bridge, which no longer exists, into North America.","['and', 'after']"
"A few months after the experiment began, standard tests of the rats' blood pressure revealed that about 25 percent of the colony had normal, healthy blood pressure, about 70 percent of the colony had high blood pressure, and 5 percent of the colony had extremely high blood pressure.","['and', 'after']"
"Carl: Researchers who perform operations on animals for experimental purposes are legally required to complete detailed pain protocols indicating whether the animals will be at risk of pain and, if so, what steps will be taken to minimize or alleviate it.","['and', 'so', 'or']"
"Yet when human beings undergo operations, such protocols are never required.","['yet', 'when']"
"If lawmakers were as concerned about human beings as they seem to be about animals, there would be pain protocols for human beings too.",['as']
Debbie: But consider this: a person for whom a doctor wants to schedule surgery can simply be told what pain to expect and can then decide whether or not to undergo the operation.,"['but', 'then', 'and', 'or']"
"So you see, pain protocols are unnecessary for human beings.",['so']
"But the dramas attributed to him evince such insight into the minds of powerful rulers that they could only have been written by one who had spent much time among them, Francis Bacon associated with rulers, but Shakespeare did not.",['but']
"Engine noise from boats travelling through killer whales' habitats ranges in frequency from 100 hertz to 3, 000 hertz, an acoustical range that overlaps that in which the whales communicate through screams and squeals.",['and']
"Though killer whales do not seem to behave differently around running boat engines, engine noise from boats can be loud enough to damage their hearing over time.",['though']
"When politicians describe their opponents' positions, they typically make those positions seem implausible and unattractive.","['when', 'and']"
"In contrast, scholars try to make opposing positions seem as plausible and attractive as possible.","['in contrast', 'as', 'and']"
Doing so makes their arguments against those positions more persuasive to their professional colleagues.,['so']
Crops can be traded on the futures market before they are harvested.,['before']
"Ttherefore, since adequate moisture is essential for the current crop' s survival, prices of corn futures will fall sharply today.",['since']
"Its gold content of 92 percent allowed coins to be minted without refining the gold, and indeed coins minted from this source of gold can be recognized because they have that gold content.","['indeed', 'and', 'because']"
"The mints could refine gold and produced other kinds of coins that had much purer gold content, but the Senegalese gold was never refined.","['but', 'and']"
"As a preliminary to negotiating prices, merchants selling goods often specified that payment should be in the coins minted from Senegalese gold.",['as']
"What' s better, JTE pesticide is not harmful to the birds or small animals that make your yard their home.",['or']
"By using JTE, you can eliminate the pests in your yard and keep the rabbits and birds.",['and']
"But the principles held in common in a debate over the law of noncontradiction would be much less certain than that law, so it matters little whether the law of noncontradiction can be defended on the basis of those principles.","['but', 'so']"
"Film historians have made two major criticisms of Depression,era filmmakers: first, that they were too uncritical of the economic status quo, and second, that they self,indulgently created films reflecting their own dreams and desires.",['and']
"However, these filmmakers made their movies with an eye to profit, and so they provided what their audiences most wanted in a film: a chance to imagine being wealthy enough not to have a care in the world.","['however', 'and', 'so']"
"Thus, the second criticism cannot be accurate.",['thus']
"The Interstate Bridge over the Apache River, built in the 1950s, shows a substantial amount of rust: as much as 45% of its surface is coated in rust.","['as', 'much as']"
"These professors and their graduate students determined that 98% of the rust on the bridge exists on the surface only, and actually seals the underlying steel from the corrosive influence of the elements.",['and']
But they forget that it takes electricity to recharge batteries and that most of our electricity is generated by burning polluting fossil fuels.,"['but', 'and']"
Increasing the number of electric cars on the road would require building more generating facilities since current facilities are operating at maximum capacity.,['since']
"So even if all of the gasoline,powered cars on the roads today were replaced by electric cars, it would at best be an exchange of one source of fossil,fuel pollution for another.",['so']
"The television show Henry was not widely watched until it was scheduled for Tuesday evenings immediately after That' s Life, the most popular show on television.","['until', 'after']"
"During the year after the move, Henry was consistently one of the ten most,watched shows on television.",['after']
"Since Henry' s recent move to Wednesday evenings, however, it has been watched by far fewer people.","['however', 'since']"
We must conclude that Henry was widely watched before the move to Wednesday evenings because it followed That' s Life and not because people especially liked it.,"['and', 'because', 'before']"
"The Bluetail Moonbeam, endemic to the streams and rivers of Asia, is regularly imported into the United States by companies wishing to breed it for food.",['and']
"Even before a Bluetail Moonbeam develops any symptoms, biologists can establish the presence of the infection by an inexpensive test for antibodies in the fish' s blood.",['before']
"Yet, after the instance of infection, antibodies take about four weeks to appear in the fish' s blood, and the test will find no results before then.","['yet', 'then', 'and', 'before', 'after']"
Catching a live Bluetail Moonbeam and shipping it to the United States takes a little more than a week.,['and']
"Once the Bluetail Moonbeam is in captivity, shippers can eliminate all new sources of infection, but unfortunately, some Bluetail Moonbeams might be infected days or even hours before being caught.","['but', 'once', 'or', 'before']"
"Thus, even running the antibody test on each Bluetail Moonbeam entering the country would still allow infected fish into the American stocks.","['still', 'thus']"
"Several companies will soon offer personalized electronic news services, delivered via cable or telephone lines and displayed on a television.","['and', 'or']"
"Since these services will provide people with the information they are looking for more quickly and efficiently than printed newspapers can, newspaper sales will decline drastically if these services become widely available.","['and', 'since']"
"Some environmentalists question the prudence of exploiting features of the environment, arguing that there are no economic benefits to be gained from forests, mountains, or wetlands that no longer exist.",['or']
"Many environmentalists claim that because nature has intrinsic value it would be wrong to destroy such features of the environment, even if the economic costs of doing so were outweighed by the economic costs of not doing so.","['so', 'because']"
"Unprecedented industrial growth in the country of Remo has created serious environmental problems because factories there lack adequate pollution,control systems.",['because']
"Since no companies in Remo currently produce pollution,control systems, the plan, if implemented, will create significant opportunities for foreign exporters to market pollution,control systems.",['since']
"Rhizobium bacteria living in the roots of bean plants or other legumes produce fixed nitrogen, which is one of the essential plant nutrients and which for nonlegume crops, such as wheat, normally must be supplied by applications of nitrogen,based fertilizer.","['as', 'and', 'or']"
"So if biotechnology succeeds in producing wheat strains whose roots will play host to Rhizobium bacteria, the need for artificial fertilizers will be reduced.",['so']
"In fact, nearly all researchers now agree that there is no manic,depression gene.",['in fact']
"Chang: I do not dispute your evidence, but I take issue with your conclusion.",['but']
"Many of the researchers you refer to have found evidence that a set of several genes is involved and that complex interactions among these genes produce a predisposition to manic,depression.",['and']
So it must be concluded that some of the visitors do not know that these practices seriously harm the animals.,['so']
"But because the figures it provides are remarkably consistent from week to week, we can be confident of its accuracy.","['but', 'because']"
"Researcher: Every year approximately the same number of people die of iatrogenic disease ,, that is, as a direct result of medical treatments or hospitalization ,, as die of all other causes combined.","['as', 'or']"
"Before the printing press, books could be purchased only in expensive manuscript copies.",['before']
The public' s demand for printed books in the first years after the invention of the printing press was many times greater than demand had been for manuscript copies.,['after']
This increase demonstrates that there was a dramatic jump in the number of people who learned how to read in the years after publishers first started producing books on the printing press.,['after']
The blood pressure of some of these people lowered while petting the animals.,['while']
"Ttherefore, for any one of the people so affected, owning a pet would result in that person having a lower average blood pressure.",['so']
And students can sense when someone is trying to hide his or her ignorance.,"['when', 'and', 'or']"
"Restaurant critic: Most people agree that the food at Marva' s Diner is exceptional, while the food at the more popular Traintrack Inn is fairly ordinary.",['while']
"This discrepancy should come as no surprise, since the Traintrack Inn' s more convenient location is by itself almost enough to guarantee a steady flow of customers .","['as', 'since']"
"Hospitals, universities, labor unions, and other institutions may well have public purposes and be quite successful at achieving them even though each of their individual staff members does what he or she does only for selfish reasons.","['though', 'and', 'or']"
"Nonetheless, the average payment received by MetroBank for these ten loans had decreased by the end of the five,year term.",['nonetheless']
"A recent survey showed that 50 percent of people polled believe that elected officials should resign if indicted for a crime, whereas 35 percent believe that elected officials should resign only if they are convicted of a crime.",['whereas']
"On May first, in order to reduce the number of overdue books, a children's library instituted a policy of forgiving fines and giving bookmarks to children returning all of their overdue books.",['and']
"On July first there were twice as many overdue books as there had been on May first, although a record number of books had been returned during the interim.","['although', 'as']"
"When storing Renaissance oil paintings, museums conform to standards that call for careful control of the surrounding temperature and humidity, with variations confined within narrow margins.","['when', 'and']"
"Maintaining this environment is very costly, and recent research shows that even old oil paint is unaffected by wide fluctuations in temperature and humidity.",['and']
"Ttherefore, museums could relax their standards and save money without endangering their Renaissance oil paintings.",['and']
"As advances in medical research and technology have improved the ability of the medical profession to diagnose and treat a wide variety of illnesses and injuries, life spans have increased and overall health has improved.","['as', 'and', 'overall']"
"Yet, over the past few decades there has been a steady and significant increase in the rate of serious infections.","['yet', 'and']"
"However, Yasukawa' s conclusion that size is a determinant of a blackbird' s chances of survival over a month,long period is probably mistaken, since smaller blackbirds are generally younger than larger ones.","['however', 'since']"
"Miguel has four family members who plan to come to his graduation on Sunday afternoon, but it is likely that only three of them will be allowed to attend.",['but']
"However, the ceremony is relocated to the gymnasium if it rains, and each graduate receives just three admission tickets for use by family members.","['however', 'and']"
"Thus, it is likely that the people who spoke Proto,Indo,European, the language from which all IndoEuropean languages descended, lived in a cold climate, isolated from ocean or sea, because ProtoIndo,European lacks a word for sea, yet contains words for winter, snow,  and wolf.","['and', 'thus', 'because', 'or']"
"Guitar strings often go dead,become less responsive and bright in tone,after a few weeks of intense use.",['and']
"A researcher whose son is a classical guitarist hypothesized that dirt and oil, rather than changes in the material properties of the string, were responsible.","['rather', 'and']"
But some economists have suggested an alternative approach.,['but']
These economists assert that planners could solve these problems effectively by trading goods or services produced by a predominantly urban population in order to obtain the agricultural products that were previously produced domestically.,"['or', 'previously']"
"Nutrition education in schools once promoted daily consumption of food from each of the four food groups: milk, meat, fruit and vegetables, and breads and cereals.","['once', 'and']"
"This recommendation was, however, dangerous to health.",['however']
"Ethicist: Utilitarianism argues that it is good and right to act in the best interests of all entities involved, and says the best action is that which serves the maximum number of those entities.",['and']
"For example, making vaccination of children a requirement is considered utilitarianism because __.","['for example', 'because']"
"One should apologize only to a person one has wronged, and only for having wronged that person.",['and']
One cannot apologize sincerely unless one intends not to repeat that wrongful act.,['unless']
"To accept an apology sincerely is to acknowledge a wrong, but also to vow not to hold a grudge against the wrongdoer.","['but', 'also']"
"They look, perhaps take a snapshot, and move on.",['and']
People have become less willing to engage with works of art than they once were.,['once']
"If we are to expand the exploration of our solar system, our next manned flight should be to Phobos, one of Mars' s moons, rather than to Mars itself.","['rather', 'next']"
"The flight times to each are the same, but the Phobos expedition would require less than half the fuel load of a Mars expedition and would, ttherefore, be much less costly.","['but', 'and']"
"So, it is clear that Phobos should be our next step in space exploration.","['so', 'next']"
"The position that punishment should be proportional to how serious the offense is but that repeat offenders should receive harsher punishments than first,time offenders is unsustainable.",['but']
It implies that considerations as remote as what an offender did years ago are relevant to the seriousness of an offense.,['as']
But this would make determining the seriousness of an offense so difficult that it would be impossible to apply the proportionality principle.,"['but', 'so']"
"It hopes in this way to attract an audience made up mainly of people between thirty,five and forty,five years old and thereby to have a strong market appeal to advertisers.","['and', 'thereby']"
But this judgment has to be false.,['but']
"If one tries to glean the standard of beauty of earlier cultures from the artistic works they considered most beautiful, one cannot but be impressed by its similarity to our own standard.","['but', 'earlier']"
"In many fundamental ways, what was considered beautiful in those cultures is still considered beautiful in our own time.",['still']
"Our tomato soup provides good nutrition: for instance, a warm bowl of it contains more units of vitamin C than does a serving of apricots or fresh carrots!","['for instance', 'or']"
Many nights are too expensive for all but the rich.,['but']
Food company engineer: I stand by my decision to order the dumping of small amounts of chemicals into the local river even though there is some evidence that this material may pose health problems.,['though']
1 fish in the river myself and will continue to do so.,"['and', 'so']"
"Furthermore, I will have no problem if other food manufacturers do what our company does.",['furthermore']
"Although nondairy coffee lighteners made with coconut oil contain 2 grams of saturated fat per tablespoon, or 7 times more than does whole milk, those lighteners usually contain no cholesterol.","['although', 'or']"
"Yet one tablespoon of such lighteners causes the consumer' s blood cholesterol to rise to a higher level than does an identical amount of whole milk, which contains 2 milligrams of cholesterol per tablespoon.",['yet']
The authors of a recent article examined warnings of an impending wave of extinctions of animal species within the next 100 years.,['next']
"Consider only the data on fishes: 40 species and subspecies of North American fishes have vanished in the twentieth century, 13 between 1900 and 1950, and 27 since 1950.Ethanol is a derivative of corn and other grains.","['and', 'since']"
"When burned as fuel, it emits significantly lower levels of carbon monoxide, a major atmospheric pollutant, than does gasoline.","['as', 'when']"
"According to Anselm' s ontological argument for the existence of God, accidental beings are all those things ,, essentially all sense objects ,, whose non,existence could be imagined without inherent contradiction, and necessary beings are those things whose existence is guaranteed precisely by what they are.",['and']
"Because accidental beings could not have guaranteed that they ever would come into existence, there must be a necessary being upon whom all the accidental beings depends to bring them into existence, and this necessary being Anselm identifies with God, who ttherefore clearly must exist.","['and', 'because']"
"The indigenous people of Tasmania are clearly related to the indigenous people of Australia, but were separated from them when the land bridge between Australia and Tasmania disappeared approximately 10, 000 years ago.","['but', 'when', 'and']"
"Two thousand years after the disappearance of the land bridge, however, there were major differences between the culture and technology of the indigenous Tasmanians and those of the indigenous Australians.","['however', 'and', 'after']"
"The indigenous Tasmanians, unlike their Australian relatives, had no domesticated dogs, fishing nets, polished stone tools, or hunting implements like the boomerang and the spear,thrower.","['and', 'or']"
"While studies indicate that university professors spend much of their time engaged in personal research not clearly related to teaching, it is unlikely that additional financial compensation for, say, a larger course load or longer office hours would be the most effective of various possible means of shifting the focus of their activities, this would be the best means only if their motivation to educate were no more than a mechanical response to the prospect of more money, which surely is not the case.","['while', 'or']"
The difference between manners and morals is that the former are necessarily social in nature whereas the latter are not necessarily social in nature.,"['whereas', 'and']"
So the rules of etiquette do not apply when one is alone.,"['when', 'so']"
"The problem that environmental economics aims to remedy is the following: people making economic decisions cannot readily compare environmental factors, such as clean air and the survival of endangered species, with other costs and benefits.","['as', 'and']"
"As environmental economists recognize, solving this problem requires assigning monetary values to environmental factors.",['as']
But monetary values result from people comparing costs and benefits in order to arrive at economic decisions.,"['but', 'and']"
"Thus, environmental economics is stymied by what motivates it.",['thus']
"Eighteenth,century European aesthetics was reasonably successful in providing an understanding of all art, including early abstract art, until the 1960s, when artists self,consciously rebelled against earlier notions of art.","['when', 'until', 'earlier']"
"Since the work of these rebellious artists is quite beautiful but outside the bounds of the aesthetic theory then current, there can be no complete theory of aesthetics.","['but', 'then', 'since']"
Several ancient Greek texts provide accounts of people being poisoned by honey that texts suggest was made from the nectar of rhododendron or oleander plants.,['or']
