,sentence1,sentence2,label
0,"If the bald eagle is kind, then Dave is not short.","If it is not kind, then it will be not the bald eagle.",1
1,"If the bald eagle is kind, then Dave is not short.","If it is kind, then it will be the bald eagle. ",0
2,"If the bald eagle is not kind, then Fiona is sad.","If it is kind, then it will be not the bald eagle.",1
3,"If the bald eagle is not kind, then Fiona is sad.",,0
4,"If the bald eagle is quiet, then the dinosaur is heavy.","If it is not quiet, then it will be not the bald eagle.",1
5,"If the bald eagle is quiet, then the dinosaur is heavy.","If it is quiet, then it will be the bald eagle. ",0
6,"If the bald eagle is not quiet, then the bald eagle is not high.","If it is quiet, then it will be not the bald eagle.",1
7,"If the bald eagle is not quiet, then the bald eagle is not high.","If it is not the bald eagle, then it will be not quiet. ",0
8,"If the bald eagle is round, then the cat is thin.","If it is not round, then it will be not the bald eagle.",1
9,"If the bald eagle is round, then the cat is thin.","If it is the bald eagle, then it will be not round. ",0
10,"If the bald eagle is not round, then Gary is not powerful.","If it is round, then it will be not the bald eagle.",1
11,"If the bald eagle is not round, then Gary is not powerful.","If it is not round, then it will be the bald eagle. ",0
12,"If the bald eagle is nice, then Alan is boring.","If it is not nice, then it will be not the bald eagle.",1
13,"If the bald eagle is nice, then Alan is boring.","If it is nice, then it will be the bald eagle. ",0
14,"If the bald eagle is not nice, then the bald eagle is not lovely.","If it is nice, then it will be not the bald eagle.",1
15,"If the bald eagle is not nice, then the bald eagle is not lovely.","If it is not the bald eagle, then it will be not nice. ",0
16,"If the bald eagle is smart, then Erin is sleepy.","If it is not smart, then it will be not the bald eagle.",1
17,"If the bald eagle is smart, then Erin is sleepy.","If it is smart, then it will be the bald eagle. ",0
18,"If the bald eagle is not smart, then the snake is not cute.","If it is smart, then it will be not the bald eagle.",1
19,"If the bald eagle is not smart, then the snake is not cute.","If it is not smart, then it will be the bald eagle. ",0
20,"If the bald eagle is clever, then the leopard is tiny.","If it is not clever, then it will be not the bald eagle.",1
21,"If the bald eagle is clever, then the leopard is tiny.",,0
22,"If the bald eagle is not clever, then the leopard is rough.","If it is clever, then it will be not the bald eagle.",1
23,"If the bald eagle is not clever, then the leopard is rough.","If it is not clever, then it will be the bald eagle. ",0
24,"If the bald eagle is dull, then the tiger is heavy.","If it is not dull, then it will be not the bald eagle.",1
25,"If the bald eagle is dull, then the tiger is heavy.","If it is dull, then it will be the bald eagle. ",0
26,"If the bald eagle is not dull, then the squirrel is not quiet.","If it is dull, then it will be not the bald eagle.",1
27,"If the bald eagle is not dull, then the squirrel is not quiet.","If it is not dull, then it will be the bald eagle. ",0
28,"If the bald eagle is rough, then the bald eagle is not short.","If it is not rough, then it will be not the bald eagle.",1
29,"If the bald eagle is rough, then the bald eagle is not short.","If it is rough, then it will be the bald eagle. ",0
30,"If the bald eagle is not rough, then the mouse is not strong.","If it is rough, then it will be not the bald eagle.",1
31,"If the bald eagle is not rough, then the mouse is not strong.","If it is not the bald eagle, then it will be not rough. ",0
32,"If the bald eagle is lazy, then the dog is dull.","If it is not lazy, then it will be not the bald eagle.",1
33,"If the bald eagle is lazy, then the dog is dull.","If it is not the bald eagle, then it will be lazy. ",0
34,"If the bald eagle is not lazy, then the bear is tiny.","If it is lazy, then it will be not the bald eagle.",1
35,"If the bald eagle is not lazy, then the bear is tiny.","If it is not the bald eagle, then it will be not lazy. ",0
36,"If the bald eagle is slow, then Fiona is fierce.","If it is not slow, then it will be not the bald eagle.",1
37,"If the bald eagle is slow, then Fiona is fierce.","If it is slow, then it will be the bald eagle. ",0
38,"If the bald eagle is not slow, then Erin is kind.","If it is slow, then it will be not the bald eagle.",1
39,"If the bald eagle is not slow, then Erin is kind.","If it is not slow, then it will be the bald eagle. ",0
40,"If the bald eagle is sleepy, then the lion is not clever.","If it is not sleepy, then it will be not the bald eagle.",1
41,"If the bald eagle is sleepy, then the lion is not clever.","If it is not the bald eagle, then it will be sleepy. ",0
42,"If the bald eagle is not sleepy, then Harry is kind.","If it is sleepy, then it will be not the bald eagle.",1
43,"If the bald eagle is not sleepy, then Harry is kind.",,0
44,"If the bald eagle is boring, then the dog is not tired.","If it is not boring, then it will be not the bald eagle.",1
45,"If the bald eagle is boring, then the dog is not tired.",,0
46,"If the bald eagle is not boring, then the bear is dull.","If it is boring, then it will be not the bald eagle.",1
47,"If the bald eagle is not boring, then the bear is dull.","If it is not the bald eagle, then it will be not boring. ",0
48,"If the bald eagle is tired, then Gary is strong.","If it is not tired, then it will be not the bald eagle.",1
49,"If the bald eagle is tired, then Gary is strong.","If it is tired, then it will be the bald eagle. ",0
50,"If the bald eagle is not tired, then Dave is sleepy.","If it is tired, then it will be not the bald eagle.",1
51,"If the bald eagle is not tired, then Dave is sleepy.","If it is the bald eagle, then it will be tired. ",0
52,"If the bald eagle is not reckless, then Fiona is awful.","If it is reckless, then it will be not the bald eagle.",1
53,"If the bald eagle is not reckless, then Fiona is awful.",,0
54,"If the bald eagle is not furry, then the dinosaur is fierce.","If it is furry, then it will be not the bald eagle.",1
55,"If the bald eagle is not furry, then the dinosaur is fierce.","If it is not furry, then it will be the bald eagle. ",0
56,"If the bald eagle is small, then the mouse is not small.","If it is not small, then it will be not the bald eagle.",1
57,"If the bald eagle is small, then the mouse is not small.",,0
58,"If the bald eagle is not small, then the dog is tired.","If it is small, then it will be not the bald eagle.",1
