sentence1,label,sentence2
"If the lion is sleepy, then the crocodile is not bad.",0,"If it is sleepy, then it will be the lion. "
"If the lion is sleepy, then the crocodile is not bad.",0,
the lion is horrible and the dog is not boring.,1,"If it is not horrible, then it will be not the lion."
the rabbit is slow and Fiona is heavy.,0,"If it is the rabbit, then it will be not slow. "
the snake is nice and the squirrel is not little.,0,"If it is nice, then it will be the snake. "
"If the mouse is furry, then the bald eagle is not huge.",0,
"If Erin is tired, then Charlie is kind.",1,"If it is not tired, then it will be not Erin."
"If Erin is tired, then Charlie is kind.",1,"If it is not tired, then it will be not Erin."
the dog is not lovely and the rabbit is not quiet.,0,"If it is the dog, then it will be lovely. "
the tiger is not furry and Anne is bad.,0,"If it is not furry, then it will be the tiger. "
"If the rabbit is angry, then Anne is smart.",0,
"If the rabbit is angry, then Anne is smart.",0,"If it is angry, then it will be the rabbit. "
"If the rabbit is angry, then Anne is smart.",0,"If it is angry, then it will be the rabbit. "
"If Erin is clever, then the leopard is not kind.",0,"If it is clever, then it will be Erin. "
"If Erin is clever, then the leopard is not kind.",0,"If it is clever, then it will be Erin. "
the bald eagle is bad and the bald eagle is furry.,0,"If it is not the bald eagle, then it will be bad. "
Bob is rough and the cat is not rough.,0,"If it is not Bob, then it will be rough. "
the bear is not sleepy or Bob is not cute.,1,"If it is Bob, then it will be not the bear."
"If the bald eagle is sleepy, then the lion is not clever.",0,"If it is not the bald eagle, then it will be sleepy. "
"If the bald eagle is sleepy, then the lion is not clever.",0,
"If the lion is not funny, then the tiger is beautiful.",1,"If it is funny, then it will be not the lion."
"If the lion is not funny, then the tiger is beautiful.",1,"If it is funny, then it will be not the lion."
the dinosaur is not angry and the tiger is funny.,1,"If it is angry, then it will be not the dinosaur."
"If the bald eagle is high, then Bob is beautiful.",1,"If it is not high, then it will be not the bald eagle."
"If the bald eagle is high, then Bob is beautiful.",1,"If it is not high, then it will be not the bald eagle."
"If the bald eagle is high, then Bob is beautiful.",1,"If it is not high, then it will be not the bald eagle."
"If Gary is little, then the snake is tired.",1,"If it is, then it will be not Gary."
"If Gary is little, then the snake is tired.",1,"If it is, then it will be not Gary."
the dinosaur is not lazy and the wolf is angry.,0,"If it is not lazy, then it will be the dinosaur. "
Gary is powerful or the squirrel is not angry.,1,"If it is not powerful, then it will be not Gary."
the rabbit is not funny and the cat is not furry.,1,"If it is funny, then it will be not the rabbit."
Fiona is not short and the squirrel is not rough.,0,
Harry is slow or Charlie is not short.,1,"If it is not slow, then it will be not Harry."
the dog is sad or the rabbit is not sleepy.,1,"If it is not sad, then it will be not the dog."
the snake is not rough or Gary is cute.,1,"If it is rough, then it will be not the snake."
the dog is beautiful or the wolf is quiet.,1,"If it is not beautiful, then it will be not the dog."
the dog is beautiful or the wolf is quiet.,1,"If it is not beautiful, then it will be not the dog."
the squirrel is not lazy or the leopard is wealthy.,0,
"If the bald eagle is furry, then the mouse is not funny.",0,
Fiona is lovely or Harry is sad.,1,"If it is not lovely or Harry is sad, then it will be not Fiona."
the lion is poor or Alan is not heavy.,0,"If it is poor, then it will be the lion. "
Gary is not little and the dog is cute.,1,"If it is little, then it will be not Gary."
"If Alan is furry, then Bob is powerful.",1,"If it is not furry, then it will be not Alan."
"If Alan is furry, then Bob is powerful.",1,"If it is not furry, then it will be not Alan."
"If Alan is furry, then Bob is powerful.",1,"If it is not furry, then it will be not Alan."
"If Fiona is reckless, then Alan is beautiful.",1,"If it is not reckless, then it will be not Fiona."
"If Fiona is reckless, then Alan is beautiful.",1,"If it is not reckless, then it will be not Fiona."
"If Fiona is reckless, then Alan is beautiful.",1,"If it is not reckless, then it will be not Fiona."
Dave is reckless or the bald eagle is tired.,0,"If it is reckless, then it will be Dave. "
"If Alan is angry, then the bear is not lovely.",1,"If it is not angry, then it will be not Alan."
"If Alan is angry, then the bear is not lovely.",1,"If it is not angry, then it will be not Alan."
Erin is not dull and the crocodile is high.,1,"If it is dull, then it will be not Erin."
"If the leopard is not rough, then the leopard is not dull.",0,
"If the leopard is not rough, then the leopard is not dull.",0,"If it is not rough, then it will be the leopard. "
the rabbit is strong or Gary is not fierce.,0,"If it is strong, then it will be the rabbit. "
"If Harry is poor, then the cat is not reckless.",0,
Anne is little or the squirrel is not dull.,0,
the tiger is dull and the tiger is not nice.,0,
"If the crocodile is not little, then the cat is strong.",1,"If it is little, then it will be not the crocodile."
"If the crocodile is not little, then the cat is strong.",1,"If it is little, then it will be not the crocodile."
"If Charlie is not short, then the wolf is not dull.",0,
"If Charlie is not short, then the wolf is not dull.",0,
Charlie is not sad and the mouse is not high.,0,"If it is not sad, then it will be Charlie. "
the snake is thin or the bear is dull.,1,"If it is not thin, then it will be not the snake."
"If the cat is thin, then Fiona is kind.",1,"If it is not thin, then it will be not the cat."
"If the cat is thin, then Fiona is kind.",1,"If it is not thin, then it will be not the cat."
"If the tiger is powerful, then the bear is not reckless.",1,"If it is not powerful, then it will be not the tiger."
"If the tiger is powerful, then the bear is not reckless.",1,"If it is not powerful, then it will be not the tiger."
"If the crocodile is not smart, then the mouse is boring.",1,"If it is smart, then it will be not the crocodile."
"If the crocodile is not smart, then the mouse is boring.",1,"If it is smart, then it will be not the crocodile."
the dinosaur is dull or Anne is not big.,0,"If it is dull, then it will be the dinosaur. "
"If the wolf is not quiet, then the dinosaur is not poor.",0,"If it is not quiet, then it will be the wolf. "
"If the wolf is not quiet, then the dinosaur is not poor.",0,"If it is not quiet, then it will be the wolf. "
Gary is not huge or the crocodile is strong.,1,"If it is huge, then it will be not Gary."
Alan is bad and the dog is not beautiful.,1,"If it is not bad, then it will be not Alan."
"If the cat is poor, then Anne is round.",0,"If it is poor, then it will be the cat. "
"If the cat is poor, then Anne is round.",0,"If it is the cat, then it will be not poor. "
Alan is not sad or Fiona is horrible.,0,"If it is not sad or Fiona is horrible, then it will be Alan. "
Harry is not lazy and the rabbit is awful.,0,"If it is Harry, then it will be lazy. "
"If the snake is not little, then the bear is boring.",0,
"If the snake is not little, then the bear is boring.",0,
Erin is thin or the crocodile is not short.,1,"If it is not thin, then it will be not Erin."
"If Harry is not round, then the tiger is fierce.",0,"If it is not round, then it will be Harry. "
"If Harry is not round, then the tiger is fierce.",0,"If it is not round, then it will be Harry. "
the cat is thin or the rabbit is not slow.,0,"If it is the cat, then it will be not thin. "
"If the tiger is cute, then the bald eagle is rough.",0,"If it is cute, then it will be the tiger. "
"If the tiger is cute, then the bald eagle is rough.",0,"If it is cute, then it will be the tiger. "
"If the crocodile is not high, then the bear is not round.",1,"If it is high, then it will be not the crocodile."
"If the crocodile is not high, then the bear is not round.",1,"If it is high, then it will be not the crocodile."
"If Erin is not high, then Gary is not lovely.",0,"If it is not Erin, then it will be not high. "
"If Erin is not high, then Gary is not lovely.",0,"If it is not high, then it will be Erin. "
"If the rabbit is dull, then the lion is fierce.",1,"If it is not dull, then it will be not the rabbit."
"If the rabbit is dull, then the lion is fierce.",1,"If it is not dull, then it will be not the rabbit."
"If the snake is not sad, then Gary is lazy.",1,"If it is sad, then it will be not the snake."
"If the snake is not sad, then Gary is lazy.",1,"If it is sad, then it will be not the snake."
the lion is not strong and the crocodile is huge.,0,"If it is not strong, then it will be the lion. "
the dinosaur is angry.,0,
"If Alan is not kind, then the wolf is not beautiful.",1,"If it is kind, then it will be not Alan."
"If Alan is not kind, then the wolf is not beautiful.",1,"If it is kind, then it will be not Alan."
Anne is little and the squirrel is not dull.,0,"If it is not Anne, then it will be not . "
the snake is not sad and the tiger is kind.,0,"If it is not sad, then it will be the snake. "
