Origin,Original_Sentence,Generated_Sentence,BLEU_Score,Label,Tag,logic_words
Synthetic,the bald eagle is beautiful.,The bald eagle isn't ugly.,12.22307556,1,Double negation law,None
Synthetic,the bald eagle is strong.,The bald eagle is not weak.,26.26909894,1,Double negation law,None
Synthetic,the bald eagle is powerful.,The bald eagle is not powerless.,26.26909894,1,Double negation law,None
Synthetic,the bald eagle is angry.,The bald eagle was not unangry.,14.53576842,1,Double negation law,None
Synthetic,the tiger is beautiful.,The tiger isn't ugly.,7.809849842,1,Double negation law,None
Synthetic,the tiger is strong.,The tiger is not weak.,17.9652056,1,Double negation law,None
Synthetic,the tiger is powerful.,The Tiger is not powerless.,9.652434877,1,Double negation law,None
Synthetic,the tiger is angry.,The Tiger is not unangry.,9.652434877,1,Double negation law,None
Synthetic,the bear is beautiful.,The bear isn't ugly.,7.809849842,1,Double negation law,None
Synthetic,the bear is strong.,The bear is not weak.,17.9652056,1,Double negation law,None
Synthetic,the bear is powerful.,The bear is not powerless.,17.9652056,1,Double negation law,None
Synthetic,the bear is angry.,The bear is not unangry.,17.9652056,1,Double negation law,None
Synthetic,the lion is beautiful.,The lion isn't ugly.,7.809849842,1,Double negation law,None
Synthetic,the lion is strong.,The lion is not weak.,17.9652056,1,Double negation law,None
Synthetic,the lion is powerful.,The Lion is not powerless.,9.652434877,1,Double negation law,None
Synthetic,the lion is angry.,The Lion is not unangry.,9.652434877,1,Double negation law,None
Synthetic,the wolf is beautiful.,The wolf isn't ugly.,7.809849842,1,Double negation law,None
Synthetic,the wolf is strong.,The Wolf is not weak.,9.652434877,1,Double negation law,None
Synthetic,the wolf is powerful.,The Wolf is not powerless.,9.652434877,1,Double negation law,None
Synthetic,the wolf is angry.,The Wolf is not unangry.,9.652434877,1,Double negation law,None
Synthetic,the crocodile is beautiful.,Crocodiles aren't ugly.,8.116697887,1,Double negation law,None
Synthetic,the crocodile is strong.,Crocodiles are not weak.,10.68217516,1,Double negation law,None
Synthetic,the crocodile is powerful.,Crocodiles are not powerless.,10.68217516,1,Double negation law,None
Synthetic,the crocodile is angry.,Crocodiles are not unangry.,10.68217516,1,Double negation law,None
Synthetic,the dinosaur is beautiful.,The dinosaurs aren't ugly.,6.567274736,1,Double negation law,None
Synthetic,the dinosaur is strong.,The dinosaurs are not weak.,8.116697887,1,Double negation law,None
Synthetic,the dinosaur is powerful.,The dinosaurs are not powerless.,8.116697887,1,Double negation law,None
Synthetic,the dinosaur is angry.,The dinosaurs are not unangry.,8.116697887,1,Double negation law,None
Synthetic,the snake is beautiful.,The snake isn't ugly.,7.809849842,1,Double negation law,None
Synthetic,the snake is strong.,The snake is not weak.,17.9652056,1,Double negation law,None
Synthetic,the snake is powerful.,The snake is not powerless.,17.9652056,1,Double negation law,None
Synthetic,the snake is angry.,The snake is not unangry.,17.9652056,1,Double negation law,None
Synthetic,the leopard is beautiful.,The leopard isn't ugly.,7.809849842,1,Double negation law,None
Synthetic,the leopard is strong.,The leopard is not weak.,17.9652056,1,Double negation law,None
Synthetic,the leopard is powerful.,The leopard is not powerless.,17.9652056,1,Double negation law,None
Synthetic,the leopard is angry.,The leopard is not unangry.,17.9652056,1,Double negation law,None
Synthetic,the cat is beautiful.,The cat isn't ugly.,7.809849842,1,Double negation law,None
Synthetic,the cat is strong.,The cat is not weak.,17.9652056,1,Double negation law,None
Synthetic,the cat is powerful.,The cat is not powerless.,17.9652056,1,Double negation law,None
Synthetic,the cat is angry.,The cat is not unangry.,17.9652056,1,Double negation law,None
Synthetic,the dog is beautiful.,The dog isn't ugly.,7.809849842,1,Double negation law,None
Synthetic,the dog is strong.,The dog is not weak.,17.9652056,1,Double negation law,None
Synthetic,the dog is powerful.,The dog is not powerless.,17.9652056,1,Double negation law,None
Synthetic,the dog is angry.,The dog is not unangry.,17.9652056,1,Double negation law,None
Synthetic,the mouse is beautiful.,The mouse isn't ugly.,7.809849842,1,Double negation law,None
Synthetic,the mouse is strong.,The mouse is not weak.,17.9652056,1,Double negation law,None
Synthetic,the mouse is powerful.,The mouse isn't powerless.,7.809849842,1,Double negation law,None
Synthetic,the mouse is angry.,The mouse is not unangry.,17.9652056,1,Double negation law,None
Synthetic,the rabbit is beautiful.,The rabbit isn't ugly.,7.809849842,1,Double negation law,None
Synthetic,the rabbit is strong.,The rabbit is not weak.,17.9652056,1,Double negation law,None
Synthetic,the rabbit is powerful.,The rabbit is not powerless.,17.9652056,1,Double negation law,None
Synthetic,the rabbit is angry.,Bunny is not unangry.,12.7033187,1,Double negation law,None
Synthetic,the squirrel is beautiful.,The squirrel isn't ugly.,7.809849842,1,Double negation law,None
Synthetic,the squirrel is strong.,The squirrel is not weak.,17.9652056,1,Double negation law,None
Synthetic,the squirrel is powerful.,The squirrel is not powerless.,17.9652056,1,Double negation law,None
Synthetic,the squirrel is angry.,The squirrel is not unangry.,17.9652056,1,Double negation law,None
Synthetic,Anne is beautiful.,Anne isn't ugly.,9.652434877,1,Double negation law,None
Synthetic,Anne is strong.,Anne is not weak.,23.64354023,1,Double negation law,None
Synthetic,Anne is powerful.,Anne isn't powerless.,9.652434877,1,Double negation law,None
Synthetic,Anne is angry.,Anne is not unangry.,23.64354023,1,Double negation law,None
Synthetic,Alan is beautiful.,Alan isn't ugly.,9.652434877,1,Double negation law,None
Synthetic,Alan is strong.,Alan is not weak.,23.64354023,1,Double negation law,None
Synthetic,Alan is powerful.,Alan is not powerless.,23.64354023,1,Double negation law,None
Synthetic,Alan is angry.,Alan is not unangry.,23.64354023,1,Double negation law,None
Synthetic,Bob is beautiful.,Bob isn't ugly.,9.652434877,1,Double negation law,None
Synthetic,Bob is strong.,Bob is not weak.,23.64354023,1,Double negation law,None
Synthetic,Bob is powerful.,Bob isn't powerless.,9.652434877,1,Double negation law,None
Synthetic,Bob is angry.,Bob isn't unangry.,9.652434877,1,Double negation law,None
Synthetic,Charlie is beautiful.,Charlie isn't ugly.,9.652434877,1,Double negation law,None
