Origin,Original_Sentence,Generated_Sentence,BLEU_Score,Label,Tag,logic_words
ReClor,"If you were really interested in helping our economy, you would instead allocate the revenues to building a new business park, since it would bring in twice the business that your highway would.","If you don't allocate revenue to building new business parks, then it's not really in our interest to help our economy, it brings in twice as many business as your highways.",7.531469947167948,1,Contraposition law,"['instead', 'since']"
ReClor,Tanya would refrain from littering if everyone else refrained from littering.,"If Tarya doesn't refrain from littering, everyone else will not.",13.912311644176565,1,Contraposition law,['else']
ReClor,"However, if they appear in the work of only one poet, they are likely to be personal idiosyncrasies.","If they are not likely to be personal idiosyncrasies, they will not appear in the works of only one poet.",37.21106799318148,1,Contraposition law,['however']
ReClor,"Birdwatcher: Without a high density of crabs on a beach, migrating shorebirds will go hungry because shorebirds only eat eggs that a crab happens to uncover when it is digging its own nest.","If bird watchers say migratory shorebirds aren't hungry, they're only eating eggs the crabs uncover as they dig their nests, there's high density of them on the beach.",5.3514693392556705,1,Contraposition law,"['when', 'because']"
ReClor,"When people experience throbbing in their teeth or gums, they have serious dental problems, and if a dental problem is serious, it will be a problem either of tooth decay or of gum disease.","When people experience tooth or gum throbbing, they have serious dental and gum problems, not a serious problem with tooth decay or gum disease, and if they do, they have no such problem.",21.2317923824223,1,Contraposition law,"['when', 'and', 'either,or', 'or']"
ReClor,"If a President is elected, then he or she won the nomination of a major party and received at least 270 Electoral College votes, even if he or she did not win the popular vote.","If he or she wins the nomination of a major party and receives at least 270 electoral college votes, they will be elected president, even if they win the vote of the populace.",27.935341974125553,1,Contraposition law,"['then', 'and', 'if,then', 'or']"
ReClor,Most children find it very difficult to explain exactly what the words they use mean when those words do not refer to things that can be seen or touched.,"If most children find it impossible to explain what exactly the word they use means, it is very much a reference to what can be seen and touched.",11.597823048978514,1,Contraposition law,"['when', 'or']"
ReClor,"Laila: Though lying may be unacceptable in most cases, there are exceptions: when lying brings about more good than harm, lying is morally permissible.","Laila, except that if lying is morally permissible, it doesn't bring about more good than harm, even though lying is in most cases unacceptable.",29.58675749494725,1,Contraposition law,"['though', 'when']"
ReClor,"Since forewarned communities could take steps to evacuate, many of the injuries and deaths that would otherwise occur could be avoided if the government would implement this proposal.","If the government implements this proposal, as forewarned communities can take steps to evacuate, many of the injuries and deaths are inevitable, not to mention the ones that are inevitable.",35.55340746399048,1,Contraposition law,"['otherwise', 'and', 'since']"
ReClor,"That is, as long as all of their needs were met, they would continue dividing forever.","As long as their needs are met, not if they continue to divide forever.",8.575148078150821,1,Contraposition law,"['as long as', 'as']"
ReClor,"If such a cell divides 30 times and then is put into a deep freeze for months or even years, it remembers where it stopped dividing.","If such cells don't remember where the division stopped, then they are divided 30 times and put in deep freeze for months or even years.",28.738115024916837,1,Contraposition law,"['then', 'and', 'if,then', 'or']"
ReClor,"Without Jupiter and Saturn, whose gravitational forces have prevented Earth from being frequently struck by large comets, intelligent life would never have arisen on Earth.","If intelligent life ever arises on Earth, Jupiter and Saturn will be the planets of gravity forces that prevent them from frequently striking large comets.",9.200468434138072,1,Contraposition law,['and']
