,Original_Sentence,Parsed_Sentence
0,"If the bald eagle is kind, then Dave is not short.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ kind))))) (, ,) (ADVP (RB then)) (NP (NNP Dave)) (VP (VBZ is) (RB not) (ADJP (JJ short))) (. .))"
1,"If the bald eagle is kind, then Dave is not short.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ kind))))) (, ,) (ADVP (RB then)) (NP (NNP Dave)) (VP (VBZ is) (RB not) (ADJP (JJ short))) (. .))"
2,"If the bald eagle is not kind, then Fiona is sad.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ kind))))) (, ,) (ADVP (RB then)) (NP (NNP Fiona)) (VP (VBZ is) (ADJP (JJ sad))) (. .))"
3,"If the bald eagle is not kind, then Fiona is sad.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ kind))))) (, ,) (ADVP (RB then)) (NP (NNP Fiona)) (VP (VBZ is) (ADJP (JJ sad))) (. .))"
4,"If the bald eagle is quiet, then the dinosaur is heavy.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ quiet))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN dinosaur)) (VP (VBZ is) (ADJP (JJ heavy))) (. .))"
5,"If the bald eagle is quiet, then the dinosaur is heavy.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ quiet))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN dinosaur)) (VP (VBZ is) (ADJP (JJ heavy))) (. .))"
6,"If the bald eagle is not quiet, then the bald eagle is not high.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ quiet))))) (, ,) (ADVP (RB then)) (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ high))) (. .))"
7,"If the bald eagle is not quiet, then the bald eagle is not high.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ quiet))))) (, ,) (ADVP (RB then)) (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ high))) (. .))"
8,"If the bald eagle is round, then the cat is thin.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ round))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN cat)) (VP (VBZ is) (ADJP (JJ thin))) (. .))"
9,"If the bald eagle is round, then the cat is thin.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ round))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN cat)) (VP (VBZ is) (ADJP (JJ thin))) (. .))"
10,"If the bald eagle is not round, then Gary is not powerful.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ round)))))) (, ,) (ADVP (RB then)) (NP (NNP Gary)) (VP (VBZ is) (RB not) (ADJP (JJ powerful))) (. .))"
11,"If the bald eagle is not round, then Gary is not powerful.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ round)))))) (, ,) (ADVP (RB then)) (NP (NNP Gary)) (VP (VBZ is) (RB not) (ADJP (JJ powerful))) (. .))"
12,"If the bald eagle is nice, then Alan is boring.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ nice))))) (, ,) (ADVP (RB then)) (NP (NNP Alan)) (VP (VBZ is) (ADJP (JJ boring))) (. .))"
13,"If the bald eagle is nice, then Alan is boring.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ nice))))) (, ,) (ADVP (RB then)) (NP (NNP Alan)) (VP (VBZ is) (ADJP (JJ boring))) (. .))"
14,"If the bald eagle is not nice, then the bald eagle is not lovely.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ nice))))) (, ,) (ADVP (RB then)) (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ lovely))) (. .))"
15,"If the bald eagle is not nice, then the bald eagle is not lovely.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ nice))))) (, ,) (ADVP (RB then)) (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ lovely))) (. .))"
16,"If the bald eagle is smart, then Erin is sleepy.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ smart))))) (, ,) (ADVP (RB then)) (NP (NNP Erin)) (VP (VBZ is) (ADJP (JJ sleepy))) (. .))"
