sentence1,sentence2,label
"If the lion is sleepy, then the crocodile is not bad.",The crocodile is not a bad thing if the lion isn't sleepy.,0
the lion is horrible and the dog is not boring.,The dog is not boring and the lion is horrible.,1
the rabbit is slow and Fiona is heavy.,The bunny is slow and Fiona isn't heavy.,0
the snake is nice and the squirrel is not little.,"Nice snake and squirrel,",0
"If the mouse is furry, then the bald eagle is not huge.",The Bald Eagle is not huge if the mouse isn't furry.,0
"If Erin is tired, then Charlie is kind.",Erin isn't tired of being kind to Charlie.,1
the dog is not lovely and the rabbit is not quiet.,The dog was not lovely and the rabbit was quiet.,0
the tiger is not furry and Anne is bad.,The tiger is not furry and Anne isn't bad.,0
"If the rabbit is angry, then Anne is smart.","If the bunny is unangry, Anne is smart.",0
"If Erin is clever, then the leopard is not kind.","If Erin wasn't clever, the leopard would not be kind.",0
the bald eagle is bad and the bald eagle is furry.,The bald eagle is bad and not furry.,0
Bob is rough and the cat is not rough.,"Bob is rough, and the cat is rough.",0
the bear is not sleepy or Bob is not cute.,"If the bear is not sleepy, then Bob is not cute.",1
"If the bald eagle is sleepy, then the lion is not clever.",The lion is not clever unless the bald eagle is sleepy.,0
"If the lion is not funny, then the tiger is beautiful.",Lions aren't funny or Tigers beautiful.,1
the dinosaur is not angry and the tiger is funny.,The tiger is funny and the dinosaur is not angry.,1
"If the bald eagle is high, then Bob is beautiful.",a bald eagle high or Bob beautiful.,1
"If Gary is little, then the snake is tired.",Gary isn't a little if the snakes don't tire then.,1
the dinosaur is not lazy and the wolf is angry.,The dinosaur is not lazy and the wolf is not angry.,0
Gary is powerful or the squirrel is not angry.,"If Gary were powerful, the squirrel would not be angry.",1
the rabbit is not funny and the cat is not furry.,The cat is not furry and the bunny is not funny.,1
Fiona is not short and the squirrel is not rough.,Fiona is not short and the squirrel is rough.,0
Harry is slow or Charlie is not short.,Charlie would not be short if Harry were slow.,1
the dog is sad or the rabbit is not sleepy.,"If the dog is sad, the rabbit is not sleepy.",1
the snake is not rough or Gary is cute.,Gary would be cute if the snake was not rough.,1
the dog is beautiful or the wolf is quiet.,"If the dog was beautiful, the wolf would have been quiet.",1
the squirrel is not lazy or the leopard is wealthy.,The squirrel is not lazy or the leopard isn't wealthy.,0
"If the bald eagle is furry, then the mouse is not funny.",The mouse is not funny unless the bald eagle is furry.,0
Fiona is lovely or Harry is sad.,"If Fiona was lovely, Harry would have been sad.",1
the lion is poor or Alan is not heavy.,The Lion is poor or Alan heavy.,0
Gary is not little and the dog is cute.,The dog is cute and Gary is not little.,1
"If Alan is furry, then Bob is powerful.","If Alan was furry, Bob wouldn't be powerless.",1
"If Fiona is reckless, then Alan is beautiful.","If Alan wasn't beautiful, Fiona wouldn't have been reckless.",1
Dave is reckless or the bald eagle is tired.,Dave is either reckless or the bald eagle isn't tired.,0
"If Alan is angry, then the bear is not lovely.",Alan isn't angry if the bear is lovely.,1
Erin is not dull and the crocodile is high.,"Crocodile high, Erin not dull.",1
"If the leopard is not rough, then the leopard is not dull.",The leopard is not dull if rough.,0
the rabbit is strong or Gary is not fierce.,The rabbit is strong or Gary is fierce.,0
"If Harry is poor, then the cat is not reckless.","If Harry wasn't poor, the cat was not reckless.",0
Anne is little or the squirrel is not dull.,Anne is little or a dull squirrel.,0
the tiger is dull and the tiger is not nice.,The tiger is dull and nice.,0
"If the crocodile is not little, then the cat is strong.","The cat is strong, the crocodile is not little.",1
"If Charlie is not short, then the wolf is not dull.",Charlie would be short if the wolf was dull.,0
Charlie is not sad and the mouse is not high.,Charlie is not sad and the mouse is high.,0
the snake is thin or the bear is dull.,The bear would be dull if the snake was thin.,1
